Player,PER▼,TS%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Jahlil Okafor,17.9,0.603,19.9,1.4,0.8,2.2,-0.6,-0.9,-1.5,0.1
Malcolm Brogdon,17.8,0.614,20.7,4.2,2.3,6.5,2,0.1,2.2,1.9
Taj Gibson,17.8,0.612,17.2,3.7,1.4,5.1,0.3,-0.4,-0.1,0.8
Mason Plumlee,17.8,0.602,16.2,2.9,2.9,5.8,-0.5,2.6,2.1,1.8
Victor Oladipo,17.6,0.519,27.9,0.4,1.9,2.3,1.8,1.2,2.9,1.4
Rudy Gay,17.5,0.583,22.1,2.2,2.2,4.4,0.8,0.6,1.4,1.6
Buddy Hield,17.5,0.587,25.1,4.3,1.6,5.9,3.5,-1.4,2.1,2.7
Cheick Diallo,17.5,0.644,16,1.4,1.2,2.6,-1.1,0.1,-0.9,0.2
Isaiah Hicks,17.4,0.588,15,0.1,0,0.1,-2.1,2.2,0.1,0
Dwight Howard,17.4,0.638,19.6,0.4,0.2,0.6,-1.3,-1.7,-3,-0.1
Jeremy Lamb,17.3,0.552,22.5,3.3,2,5.3,1.2,0,1.2,1.8
Ed Davis,17.3,0.632,12.7,3.3,2.5,5.7,-0.6,0.7,0,0.7
Kevon Looney,17.3,0.636,12.8,4.2,1.8,6,0.1,0.4,0.5,0.9
Tyler Zeller,17.3,0.607,20.1,0.2,0.1,0.3,-3.1,-1.9,-5,-0.1
Tobias Harris,17.2,0.592,22.8,4.5,2.6,7.1,2.1,-0.5,1.6,2.6
Alex Len,17.2,0.575,22.1,2.2,1,3.2,0,-1.3,-1.2,0.3
Donovan Mitchell,17.2,0.537,31.6,1.3,3.7,5,1.2,0.1,1.3,2.2
Nikola Mirotić,17.2,0.584,21.4,2,1.4,3.5,2.1,-0.6,1.5,1.1
Cody Zeller,17.2,0.611,16.3,2.6,1.2,3.9,-0.6,0.7,0.1,0.7
Lauri Markkanen,17.1,0.553,25.1,1.3,1.5,2.7,1.4,-1.5,-0.2,0.7
John Henson,17.1,0.553,18.6,0.1,0.4,0.6,0.4,2.1,2.5,0.2
CJ McCollum,17,0.553,25.5,4,1.7,5.6,2.1,-1,1,1.8
Trae Young,17,0.539,28.4,2.5,0.7,3.3,2.3,-2.8,-0.6,0.9
Daniel Theis,17,0.624,15.8,2.3,1.3,3.5,-0.8,0.9,0,0.5
T.J. Leaf,16.9,0.572,17.5,0.9,0.7,1.6,0.3,-0.6,-0.3,0.2
Jordan Clarkson,16.8,0.539,27.6,1.9,-0.1,1.8,2.1,-2.6,-0.5,0.8
Frank Kaminsky,16.8,0.587,22.1,1.3,0.5,1.8,1.4,-1.1,0.3,0.4
Kyle O'Quinn,16.8,0.537,20.8,0.2,0.8,1,-2.5,3,0.4,0.2
Darren Collison,16.7,0.574,17.7,3.9,2.9,6.8,0.8,1,1.8,2.1
Marc Gasol,16.7,0.546,20.7,2,4,6,0.8,2.3,3.1,3.1
Pau Gasol,16.7,0.529,15.6,0.5,0.5,1.1,1,2.1,3.1,0.5
Klay Thompson,16.6,0.571,25.6,2.9,2.3,5.3,1.1,-1.4,-0.3,1.2
Kalin Lucas,16.6,0.532,13.5,0,0,0,-5.6,6.4,0.8,0
Kyle Lowry,16.5,0.562,19.6,3.6,3,6.6,1.7,0.6,2.3,2.4
Khris Middleton,16.5,0.558,25.1,2.5,3.6,6.1,0.7,0.1,0.8,1.7
Trey Burke,16.5,0.524,24.8,1.4,0.5,1.9,1.5,-1.4,0.1,0.6
Jaren Jackson Jr.,16.4,0.591,22.8,1.2,2.2,3.3,-1.2,1,-0.3,0.7
Spencer Dinwiddie,16.3,0.58,24.9,3.5,1.4,4.8,1.4,-0.8,0.6,1.3
J.J. Barea,16.3,0.495,28.1,0.4,0.6,1,1.2,-1.8,-0.6,0.3
Walt Lemon Jr.,16.3,0.468,26.6,-0.1,0.2,0.1,-2.4,0.2,-2.2,0
Jordan Loyd,16.3,0.635,19.4,0.2,0,0.2,0,-0.9,-1,0
T.J. Warren,16.3,0.58,22.7,1.6,0.5,2.1,0.9,-1.1,-0.2,0.6
Monte Morris,16.2,0.577,17.1,4.4,1.8,6.2,1.1,0.3,1.5,1.7
Thaddeus Young,16.2,0.569,18,3,3.9,6.9,0.4,1.1,1.5,2.2
Kadeem Allen,16.2,0.574,19.6,0.7,0.2,1,0.2,0.3,0.5,0.3
Ante Žižić,16.2,0.59,18.2,1.7,0.3,2,-1.1,-2.1,-3.2,-0.3
Bojan Bogdanović,16.1,0.613,22.4,3.9,2.8,6.8,1.3,-0.6,0.7,1.7
Salah Mejri,16.1,0.559,15.8,0.5,0.6,1.1,-1.1,1.9,0.8,0.3
Bobby Portis,16.1,0.529,24.6,0.5,1.1,1.6,-0.2,-2.3,-2.4,-0.1
Ivan Rabb,16.1,0.586,17.2,1.2,0.9,2.1,-1.1,-0.3,-1.4,0.1
Thomas Welsh,16.1,0.648,17.7,0.1,0,0.1,2.2,-1.1,1.2,0
Dewayne Dedmon,16,0.602,16.7,2.1,1.9,4,-0.3,0.8,0.5,1
Jamal Murray,16,0.538,24.9,2.8,2.3,5.1,1.4,-0.8,0.6,1.6
PJ Dozier,16,0.434,18.5,0.1,0.1,0.1,-1.3,-0.6,-2,0
Jodie Meeks,16,0.647,17.1,0.2,0.1,0.3,1.4,-0.8,0.5,0.1
Greg Monroe,16,0.521,22.6,0.4,0.7,1.1,-2,-1.3,-3.2,-0.1
Robin Lopez,15.9,0.598,18.6,2,0.7,2.7,-0.6,-1.4,-1.9,0
Otto Porter Jr.,15.9,0.569,19.1,1.8,1.5,3.2,0.8,0.1,0.9,1.2
Michael Beasley,15.9,0.532,29.5,-0.1,0.4,0.2,-1.9,0.5,-1.5,0
Dwyane Wade,15.8,0.51,27.9,0.1,2.3,2.4,0.8,-0.2,0.6,1.2
Meyers Leonard,15.8,0.675,14.8,2.1,0.9,3,1.5,0.3,1.8,0.8
D.J. Augustin,15.7,0.616,17.2,5,1.9,6.9,1.1,-0.7,0.5,1.4
Omri Casspi,15.7,0.606,18,0.6,0.7,1.3,-0.3,0.7,0.4,0.3
Gordon Hayward,15.6,0.575,19,2.6,2.3,4.9,0.4,0.4,0.8,1.3
Deyonta Davis,15.6,0.682,10.1,0.3,0.1,0.4,-1.5,-0.6,-2,0
Jabari Parker,15.5,0.56,24.6,0.1,1.3,1.4,-0.7,-0.9,-1.5,0.2
Delon Wright,15.5,0.523,18.1,1.9,2.4,4.3,0.1,1.4,1.5,1.5
Nemanja Bjelica,15.4,0.585,16.5,2.7,1.9,4.5,0.4,0.5,0.9,1.3
Terrence Ross,15.4,0.561,23.9,1.7,2.6,4.3,1.1,-0.3,0.8,1.5
Jeff Teague,15.4,0.528,19.3,1.7,0.5,2.2,0.8,-1.2,-0.4,0.5
Damian Jones,15.3,0.72,11.1,1,0.5,1.5,-0.6,1.7,1.1,0.3
Shabazz Napier,15.3,0.534,24,1,1,2,0.9,0.6,1.5,0.9
Tony Parker,15.3,0.512,25.5,0.6,0.3,0.9,-0.3,-2.3,-2.6,-0.1
Reggie Jackson,15.2,0.547,24.5,3.1,1.9,5,1.3,-0.9,0.4,1.4
