Player,PER▼,TS%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Aaron Holiday,11.9,0.518,21.9,0.1,0.8,0.9,-1.7,0.1,-1.6,0.1
Luke Kennard,11.9,0.56,18.1,1.3,1.3,2.5,-0.4,-0.6,-1.1,0.3
Damion Lee,11.9,0.578,16.8,0.3,0.4,0.7,-1.2,-1.1,-2.2,0
Patrick Beverley,11.8,0.561,12.2,2.8,2,4.8,-0.3,1.2,0.9,1.5
Vince Carter,11.8,0.565,16.7,1.2,0.7,1.9,-0.4,-0.3,-0.7,0.5
Wayne Ellington,11.8,0.569,17.2,1.3,1.4,2.6,-0.3,0.3,0,0.7
Malik Monk,11.8,0.518,24.6,-0.4,0.7,0.3,-1.3,-1.7,-3,-0.3
Ish Smith,11.8,0.485,19.9,0.5,1.1,1.7,-1.6,-0.3,-2,0
Lance Stephenson,11.8,0.529,20.3,-0.1,1.2,1.1,-1.6,0.1,-1.5,0.1
Dwayne Bacon,11.7,0.57,16.8,0.9,0.3,1.2,-2.1,-1.6,-3.7,-0.3
Lonzo Ball,11.7,0.487,16.9,-0.2,1.7,1.6,-1.6,1.3,-0.3,0.6
Jamal Crawford,11.7,0.522,20.8,0.1,0,0.2,-1.1,-2.8,-3.9,-0.6
Tim Frazier,11.7,0.544,13.3,1.3,0.7,2,-1.4,-0.4,-1.8,0.1
Jalen Jones,11.7,0.548,16.7,0.2,0.1,0.3,-2.3,-1.9,-4.2,-0.1
Shaun Livingston,11.7,0.555,12,1.2,0.9,2,-1.7,0.7,-1,0.2
Markieff Morris,11.7,0.521,19.1,0.6,1.1,1.6,-2.1,-0.6,-2.7,-0.2
Ryan Arcidiacono,11.6,0.588,11.7,2.8,0.9,3.7,-2,0.1,-1.9,0.1
Evan Turner,11.6,0.504,15.9,0.5,1.5,2,-1.8,0.5,-1.3,0.3
Corey Brewer,11.6,0.532,13.6,0.4,0.6,1,-2.9,1.6,-1.3,0.1
MarShon Brooks,11.6,0.518,23.6,-0.2,0.3,0.1,-1.9,-1.1,-3,-0.1
Ersan İlyasova,11.6,0.548,15.7,1.2,1.9,3,-2.4,0.1,-2.3,-0.1
Doug McDermott,11.6,0.617,16.3,1.8,1.1,2.9,-0.5,-0.9,-1.4,0.2
Cedi Osman,11.5,0.536,18.6,1.2,0.2,1.5,-1.4,-1.8,-3.2,-0.8
Tyreke Evans,11.5,0.483,26.4,-1.7,2,0.3,-2.4,-0.3,-2.7,-0.2
Furkan Korkmaz,11.5,0.528,17.9,0.4,0.7,1.1,-1.6,-0.2,-1.8,0
E'Twaun Moore,11.5,0.567,17.3,1.2,0.5,1.7,-1.2,-1.1,-2.3,-0.1
Cameron Payne,11.5,0.519,17.6,0.1,0.3,0.5,-2.3,-0.7,-3,-0.2
Seth Curry,11.4,0.595,16.6,1.5,0.9,2.4,-0.4,-0.7,-1,0.3
Gerald Green,11.4,0.555,19.5,0.9,1,1.9,-0.2,-1.5,-1.7,0.1
Dion Waiters,11.4,0.53,21.1,0.1,1.1,1.2,-0.5,-0.6,-1.1,0.3
Justin Jackson,11.3,0.561,14.3,2,0.9,2.9,-0.8,-0.8,-1.6,0.2
Thon Maker,11.3,0.53,14.8,0.5,1.5,2,-2.2,1,-1.2,0.2
Justin Anderson,11.2,0.516,17.2,0.1,0.4,0.4,-2.4,-0.3,-2.7,-0.1
Tyson Chandler,11.2,0.63,8.5,0.9,1.2,2.1,-2.9,0.8,-2.1,0
Tyler Dorsey,11.2,0.509,19.7,0.2,0.4,0.6,-1.4,-2.1,-3.5,-0.3
Dante Exum,11.2,0.516,21.3,0.2,0.7,1,-2,-0.1,-2.1,0
Raymond Felton,11.2,0.505,16.6,0.3,0.4,0.7,-1.7,0.4,-1.3,0.1
Kyle Korver,11.2,0.582,18.5,1,1.3,2.3,-0.2,-0.3,-0.5,0.5
Alfonzo McKinnie,11.2,0.569,13.9,1.2,0.9,2.1,-2.2,-1.3,-3.5,-0.4
Troy Brown Jr.,11.1,0.487,16.5,0.2,0.4,0.6,-1.7,-1,-2.7,-0.1
Matthew Dellavedova,11.1,0.532,17.9,0.5,0,0.5,-1.7,-2.8,-4.4,-0.5
Anfernee Simons,11.1,0.535,24.3,0,0,0.1,-1.5,-3.7,-5.3,-0.1
Dorian Finney-Smith,11,0.53,14,1.2,2,3.3,-1.8,0.4,-1.4,0.3
Cory Joseph,11,0.474,13.7,0.5,2.9,3.5,-2.1,1.7,-0.4,0.9
Landry Shamet,11,0.604,15,2.7,0.9,3.6,-0.3,-1.3,-1.6,0.2
Will Barton,11,0.501,20,0.1,1.1,1.2,-1.1,-0.8,-1.8,0
James Ennis III,11,0.59,12.7,1.6,1,2.6,-1.4,-0.2,-1.5,0.1
Juancho Hernangómez,11,0.58,12.2,1.6,1.4,3,-0.9,-0.2,-1.1,0.3
Rodions Kurucs,11,0.545,18.4,0.1,1.5,1.6,-2.9,0.3,-2.6,-0.2
Carmelo Anthony,10.9,0.513,20.5,0.1,0.2,0.3,-1.3,-1.4,-2.7,-0.1
Sterling Brown,10.9,0.563,15.2,0.7,1.4,2.1,-1.8,0.3,-1.5,0.1
James Johnson,10.9,0.522,17.8,0,1.5,1.5,-2.4,1.1,-1.2,0.2
Nik Stauskas,10.9,0.545,17.6,0.6,0.5,1.1,-0.7,-1.2,-1.9,0
DeAndre' Bembry,10.8,0.508,17.2,-0.9,1.7,0.9,-3.3,0.8,-2.4,-0.2
Mikal Bridges,10.8,0.556,12.2,1.7,1.2,2.9,-2,0.4,-1.6,0.3
Damyean Dotson,10.8,0.526,17.3,0.7,0.9,1.5,-1.7,-0.9,-2.6,-0.3
Jerian Grant,10.8,0.526,13.4,0.5,1.1,1.7,-2.9,1.3,-1.6,0.1
Mario Hezonja,10.8,0.497,21.3,-1.1,1.1,-0.1,-3.5,-0.3,-3.8,-0.5
Mike Muscala,10.8,0.564,14.3,1.2,1.2,2.5,-0.8,-0.3,-1.1,0.3
Lonnie Walker IV,10.8,0.446,20.3,-0.1,0.2,0,-3.4,1,-2.4,0
Langston Galloway,10.7,0.534,16.1,2.1,1.3,3.4,-0.9,-0.6,-1.5,0.2
Ryan Broekhoff,10.7,0.621,14.3,0.5,0.3,0.8,-0.5,-0.5,-1,0.1
Devin Harris,10.7,0.527,18.5,0.6,0.9,1.5,-2.6,0.4,-2.2,-0.1
Tony Snell,10.7,0.585,12.9,1.6,1.6,3.2,-1,0.3,-0.7,0.4
Josh Jackson,10.6,0.487,23.9,-2.8,1.1,-1.7,-3.3,-1.2,-4.6,-1.3
Antonio Blakeney,10.6,0.487,24.5,-0.8,0.3,-0.5,-2.4,-2.7,-5.2,-0.7
Reggie Bullock,10.5,0.563,15.8,1.6,1.4,3.1,-0.7,-0.4,-1.1,0.4
Markelle Fultz,10.5,0.452,19.3,-0.1,0.4,0.3,-3.3,0.2,-3.1,-0.1
Ben McLemore,10.5,0.541,19.4,0.1,0.1,0.2,-2.1,-1.4,-3.5,-0.1
Justin Patton,10.5,0.317,15.7,0,0,0,-5.2,3.2,-2,0
Troy Williams,10.5,0.531,15,0.1,0.3,0.4,-2.4,0,-2.4,0
Torrey Craig,10.4,0.547,12.4,1.4,1.7,3,-2,0.2,-1.9,0
Shelvin Mack,10.4,0.489,18.1,-0.2,1.1,0.9,-2.7,-0.4,-3,-0.3
Cameron Reynolds,10.4,0.58,14.1,0.3,0.1,0.4,-1.3,-1.2,-2.5,0
Wesley Matthews,10.3,0.546,17.8,1.1,1.5,2.7,-1.4,-0.5,-1.8,0.1
Devonte' Graham,10.3,0.459,17,0.2,0.3,0.5,-2.6,-1.3,-4,-0.3
Courtney Lee,10.3,0.492,15.3,0.1,0.4,0.4,-3.4,0.8,-2.5,-0.1
D.J. Wilson,10.3,0.515,14.4,0.3,1.4,1.7,-2.4,0.2,-2.2,0
Jaron Blossomgame,10.2,0.51,12.2,0.2,0.1,0.3,-1.9,-1.8,-3.8,-0.2
Dante Cunningham,10.2,0.585,8.9,1,0.9,1.9,-1.3,0.6,-0.6,0.3
Kevin Huerter,10.1,0.533,15.7,0.7,0.7,1.5,-1.6,-0.8,-2.4,-0.2
Hamidou Diallo,10.1,0.497,16.6,0.1,0.7,0.8,-4.4,0.2,-4.2,-0.3
Moritz Wagner,10.1,0.533,21.7,-0.3,0.5,0.2,-3.9,-0.4,-4.3,-0.3
Justin Holiday,10,0.52,15.7,-0.4,2.5,2.1,-2.3,0.5,-1.8,0.1
Isaiah Hartenstein,10,0.562,11.8,0.2,0.3,0.5,-5.1,1.2,-3.9,-0.1
De'Anthony Melton,9.9,0.466,15,-0.8,0.8,0,-3.8,1.1,-2.7,-0.2
Chasson Randle,9.9,0.555,16.4,0.4,0.2,0.6,-2.7,-1.3,-4,-0.4
OG Anunoby,9.8,0.544,15.5,0.3,1.7,2,-2.4,0.1,-2.4,-0.1
Troy Daniels,9.8,0.558,17.6,0.2,0.1,0.3,-1.7,-2,-3.7,-0.3
Billy Garrett,9.8,0.452,20.9,0,0,0,-3.9,-1.7,-5.5,-0.1
Jason Smith,9.8,0.492,17.5,0,0.2,0.2,-3.7,-1,-4.7,-0.1
John Jenkins,9.7,0.536,15.7,0.2,0,0.2,-1,-2.4,-3.4,-0.1
Kenrich Williams,9.7,0.485,12.3,0.3,0.9,1.2,-2.3,0.4,-1.9,0
Keita Bates-Diop,9.6,0.489,14.1,0,0.4,0.3,-2.8,-0.6,-3.4,-0.2
Stanley Johnson,9.6,0.485,19.4,-1.1,1.6,0.5,-3.1,0.9,-2.2,0
Tahjere McCall,9.6,0.581,18.1,0,0,0,-6,-0.6,-6.6,0
Dirk Nowitzki,9.6,0.469,22.5,-0.5,0.8,0.3,-2.7,-1.2,-3.9,-0.4
Dragan Bender,9.5,0.521,13.4,0,0.4,0.5,-3.4,-0.8,-4.1,-0.5
Zhaire Smith,9.5,0.533,16.4,0,0.1,0.1,-2.8,-2.2,-5,-0.1
Rodney McGruder,9.4,0.51,15.4,0.4,1.6,1.9,-2.2,-0.1,-2.3,-0.1
Josh Okogie,9.4,0.492,15.4,-0.1,1.4,1.2,-3.5,0.4,-3.1,-0.5
Frank Jackson,9.4,0.517,18.5,0.1,0.4,0.4,-2.9,-1.7,-4.6,-0.8
Jarell Martin,9.4,0.528,15.9,0.1,0.4,0.5,-3.7,-0.2,-3.9,-0.2
Josh Hart,9.3,0.526,13.5,0.2,1.9,2.1,-2.3,1,-1.3,0.3
Tyler Lydon,9.3,0.595,10.6,0.1,0.1,0.2,-2.8,-1.4,-4.2,-0.1
Shake Milton,9.3,0.483,15,0.1,0.3,0.3,-2.6,-0.6,-3.2,-0.1
P.J. Tucker,9.2,0.547,9.5,2,3,5,-1.6,1,-0.6,1
Marquese Chriss,9.2,0.455,20.6,-0.6,0.4,-0.2,-5.7,-1.9,-7.5,-0.7
Gary Clark,9.2,0.48,10.9,0.3,0.7,1,-1.1,0.4,-0.7,0.2
Donte DiVincenzo,9.1,0.507,15.1,0,0.6,0.6,-2.8,0.6,-2.2,0
Iman Shumpert,9.1,0.499,14.5,0.1,1.2,1.4,-2.4,0.5,-1.9,0
Royce O'Neale,9,0.589,11,0.7,2.5,3.3,-2.6,2.1,-0.5,0.6
C.J. Miles,9,0.504,18.6,-0.2,0.9,0.7,-2.4,-0.5,-2.9,-0.2
Channing Frye,8.9,0.524,17.5,0.1,0,0.1,-1.7,-1.8,-3.5,-0.1
Brandon Knight,8.9,0.484,18.1,-0.1,0,0,-3.5,-2,-5.4,-0.6
Chandler Hutchison,8.8,0.507,12.2,0,0.6,0.6,-3.4,-0.5,-3.9,-0.4
Abdel Nader,8.8,0.522,15.1,0,0.9,0.9,-3.6,0.3,-3.2,-0.2
C.J. Williams,8.8,0.55,13.3,0.1,0.1,0.1,-3.8,0.2,-3.7,-0.1
Kevin Knox,8.7,0.475,22.3,-2.2,0.9,-1.3,-3.4,-2.3,-5.7,-2
Wes Iwundu,8.7,0.531,12.8,0.5,1.4,1.9,-3.8,0.6,-3.2,-0.4
Glenn Robinson III,8.7,0.511,15,0.1,0.6,0.7,-2.8,-0.1,-3,-0.2
Mike Scott,8.6,0.528,14.4,0.4,1.2,1.6,-1.9,-0.7,-2.5,-0.2
Anthony Tolliver,8.6,0.571,12.5,0.6,0.5,1.2,-1.7,-0.7,-2.4,-0.1
Garrett Temple,8.5,0.543,13.2,0.3,2,2.2,-3.3,0.5,-2.8,-0.4
Jerryd Bayless,8.5,0.431,17.6,-0.2,0.2,0,-2.9,-1.7,-4.6,-0.4
Wilson Chandler,8.5,0.537,11.8,0.5,1,1.5,-2.3,-0.5,-2.8,-0.2
Semi Ojeleye,8.5,0.531,14.1,0.2,0.5,0.7,-2.8,-1.2,-4,-0.3
Chandler Parsons,8.5,0.484,20.3,-0.6,0.6,0,-3.9,-0.5,-4.4,-0.3
Brandon Sampson,8.5,0.567,15.2,-0.1,0.1,0,-3.9,-0.9,-4.7,-0.1
Jonathon Simmons,8.5,0.466,18.7,-0.8,1.1,0.3,-3.9,-0.3,-4.2,-0.6
Darius Miller,8.4,0.55,13.4,1.1,0.6,1.6,-2.1,-0.8,-2.9,-0.4
Ian Clark,8.3,0.502,19.3,-0.4,0.3,-0.1,-3.3,-1.8,-5.1,-0.8
Brandon Goodwin,8.3,0.413,23.1,0,0,0,-4.7,-4.8,-9.5,-0.1
Wayne Selden,8.3,0.491,18.4,-1,0.8,-0.3,-3.8,-1.6,-5.4,-1.2
DeVaughn Akoon-Purcell,8.2,0.322,25,-0.1,0,0,-7.9,2.1,-5.8,0
Rawle Alkins,8.1,0.418,19,-0.1,0,-0.1,-3.8,-3.5,-7.3,-0.2
Patrick Patterson,8.1,0.493,12,0.2,0.9,1.1,-2,-0.4,-2.5,-0.1
Theo Pinson,8.1,0.49,20,-0.2,0.2,0,-3.6,0.4,-3.2,-0.1
Davon Reed,8.1,0.5,12.1,0,0,0.1,-3.3,-2.2,-5.5,0
Isaiah Canaan,8,0.518,14.2,0,0.1,0.1,-2.7,-1.4,-4.1,-0.3
Timothé Luwawu-Cabarrot,8,0.489,16.6,-0.3,0.5,0.2,-4.1,-1.1,-5.2,-0.5
Jevon Carter,7.8,0.432,18,-0.7,0.7,0,-4.1,0.1,-4,-0.3
Jared Dudley,7.8,0.554,10.4,0.6,1.2,1.8,-2.9,1.1,-1.8,0.1
J.R. Smith,7.8,0.444,18.6,-0.3,0.1,-0.2,-3.7,0.5,-3.2,-0.1
Austin Rivers,7.7,0.503,14.5,0.4,0.8,1.2,-3.3,-1,-4.3,-1.1
Allen Crabbe,7.7,0.519,16.4,-0.2,1,0.8,-2.4,-0.4,-2.8,-0.2
Avery Bradley,7.6,0.496,16.2,-0.6,1,0.3,-2.8,-0.9,-3.7,-0.8
Jaylen Adams,7.6,0.474,13.5,-0.1,0.2,0.1,-3.8,-0.5,-4.3,-0.2
Dillon Brooks,7.6,0.499,20.9,-0.3,0.3,0,-5,-1.2,-6.3,-0.4
Elie Okobo,7.6,0.489,17,-0.7,0.2,-0.5,-4.2,-1.5,-5.7,-0.9
Duncan Robinson,7.6,0.514,14,0,0.2,0.2,-3.6,0.1,-3.5,-0.1
Edmond Sumner,7.6,0.443,17.6,-0.2,0.3,0.1,-5.8,0.5,-5.3,-0.2
Grayson Allen,7.5,0.516,24.4,-0.4,0.4,0,-4.2,-2.1,-6.3,-0.5
Patrick McCaw,7.5,0.532,9.4,0,0.5,0.5,-4.8,1.9,-3,-0.1
James Nunnally,7.3,0.503,15.3,0.1,0,0.1,-1.9,-2.9,-4.8,-0.1
Jerome Robinson,7.2,0.491,16.7,-0.2,0.3,0.1,-4.2,-0.5,-4.7,-0.2
José Calderón,7.1,0.453,10.9,0,0.5,0.6,-4.2,0.3,-3.9,-0.3
Daniel Hamilton,7.1,0.455,15.7,-0.2,0.1,-0.1,-3.6,-0.5,-4.1,-0.1
Deonte Burton,7,0.47,16.3,-0.2,0.3,0.1,-4.9,0.6,-4.3,-0.1
Chris Chiozza,7,0.375,11.8,0,0,0,-2.7,1.4,-1.3,0
Isaiah Thomas,7,0.437,30.4,-0.4,0.1,-0.3,-4,-2.5,-6.5,-0.2
Tyrone Wallace,7,0.45,18.7,-0.8,0.5,-0.3,-5.6,-0.8,-6.4,-0.7
Bruce Brown,6.9,0.469,11.5,-0.1,1.6,1.5,-4.4,1,-3.3,-0.5
Solomon Hill,6.8,0.497,10.4,0.1,0.4,0.5,-3.1,-0.4,-3.6,-0.3
Isaiah Briscoe,6.7,0.455,14.1,-0.3,0.5,0.3,-5.4,0.4,-5,-0.4
Luc Mbah a Moute,6.7,0.495,15.4,0,0,0,-2.9,0,-3,0
Eric Moreland,6.7,0.5,12,-0.1,0.1,0,-6.7,2,-4.7,0
Miloš Teodosić,6.5,0.557,18,-0.1,0.1,-0.1,-3.8,-1.7,-5.4,-0.1
Julian Washburn,6.5,0.402,10,-0.2,0.3,0.1,-5.1,0.5,-4.6,-0.2
Terrance Ferguson,6.4,0.566,10.6,1.2,1.6,2.8,-3.9,0.1,-3.8,-0.9
Chimezie Metu,6.4,0.389,24.4,-0.5,0.2,-0.3,-7.3,-1.4,-8.7,-0.2
Lance Thomas,6.4,0.482,12.9,-0.3,0.3,0.1,-4.8,-0.9,-5.7,-0.7
Álex Abrines,6.3,0.507,12.2,0.1,0.6,0.6,-3.7,0.4,-3.3,-0.2
Lorenzo Brown,6.3,0.38,17.9,-0.5,0.3,-0.1,-5.4,1.9,-3.5,-0.1
Alize Johnson,6.3,0.333,13.3,-0.1,0.1,0,-5.7,-2,-7.7,-0.1
Khyri Thomas,6.2,0.413,17.2,-0.2,0.2,0,-4.9,-0.1,-5,-0.2
Treveon Graham,6.1,0.458,12.8,-0.1,0.6,0.5,-3.7,0,-3.7,-0.3
Isaac Bonga,6,0.24,15.7,-0.3,0.2,-0.1,-7,2.2,-4.8,-0.1
Svi Mykhailiuk,6,0.447,16,-0.4,0.3,-0.1,-3.9,-1.1,-5,-0.3
Frank Ntilikina,6,0.417,16.6,-1.3,0.4,-0.8,-5.2,-0.8,-6,-0.9
Andrew Harrison,5.8,0.443,16.8,-0.1,0,-0.1,-5.8,-1.2,-7.1,-0.2
Džanan Musa,5.8,0.415,29,-0.2,0,-0.1,-6.3,-0.9,-7.2,-0.1
J.P. Macura,5.7,0.333,22.8,0,0,0,-4.7,-2.9,-7.7,0
Yante Maten,5.7,0.25,13.2,0,0,0,-7.5,-1.6,-9.1,0
Wesley Johnson,5.5,0.469,12,-0.3,0.3,0,-4.3,-0.5,-4.8,-0.4
Daryl Macon,5.5,0.482,17.2,-0.1,0,0,-5.3,-2.6,-7.9,-0.1
D.J. Stephens,5.5,0.5,19.1,0,0,0,-7.1,1.6,-5.5,0
