Rank,Player,Tm,First,Pts Won
1,Nikola Jokić,DEN,91,971
2,Joel Embiid,PHI,1,586
3,Stephen Curry,GSW,5,453
4,Giannis Antetokounmpo,MIL,1,348
5,Chris Paul,PHO,2,139
6,Luka Dončić,DAL,0,42
7,Damian Lillard,POR,0,38
8,Julius Randle,NYK,0,20
9,Derrick Rose,TOT,1,10
10,Rudy Gobert,UTA,0,8
