FULL NAME,GP,MPG,USG%,FT%,3P%,eFG%,PPG,RPG,APG,SPG,BPG,TO,VI,ORTG,DRTG
Giannis Antetokounmpo,63,30.4,37.5,0.633,0.304,0.589,29.5,13.6,5.6,0.98,1.05,3.65,17.2,116.1,90.2
Luka Doncic,61,33.6,36.8,0.758,0.316,0.531,28.8,9.4,8.8,0.98,0.23,4.28,15.9,115.6,104
LeBron James,67,34.6,31.5,0.693,0.348,0.55,25.3,7.8,10.2,1.16,0.54,3.9,14.6,115.4,103.8
Nikola Jokic,73,32,26.6,0.817,0.314,0.565,19.9,9.7,7,1.16,0.6,3.08,13.8,118.8,101.5
James Harden,68,36.5,36.2,0.865,0.355,0.543,34.3,6.5,7.5,1.84,0.88,4.49,13,120.3,103.3
Stephen Curry,5,27.9,33.6,1,0.245,0.476,20.8,5.2,6.6,1,0.4,3.2,12.8,109.4,108.3
Karl-Anthony Towns,35,33.9,28.8,0.796,0.412,0.6,26.5,10.8,4.4,0.94,1.2,3.14,12.7,120.7,104
Russell Westbrook,57,36,34.4,0.763,0.258,0.493,27.2,7.9,7,1.65,0.35,4.47,12.7,105.6,102.4
Joel Embiid,51,29.5,33,0.807,0.331,0.512,23,11.6,3,0.86,1.29,3.12,12.6,113,96.8
Kawhi Leonard,57,32.4,33,0.886,0.378,0.524,27.1,7.1,4.9,1.81,0.58,2.61,12.1,117,101.9
Johnathan Motley,13,3.2,23.5,0.714,1,0.767,2.2,0.8,0.5,0.23,0,0.38,12,,
Domantas Sabonis,62,34.8,23.3,0.723,0.254,0.551,18.5,12.4,5,0.73,0.48,2.76,12,115,99.1
Trae Young,60,35.3,34.9,0.86,0.361,0.519,29.6,4.2,9.3,1.08,0.13,4.8,11.9,113.9,115.2
Ryan Anderson,2,7,23.7,0,0.2,0.357,2.5,3.5,1,0.5,0,0.5,11.8,77.5,94.4
Dewan Hernandez,6,4.7,29.1,0.6,0.5,0.393,2.3,2.3,0.5,0.17,0,0.5,11.8,94.4,80.6
Kyrie Irving,20,32.9,32.6,0.922,0.394,0.546,27.4,5.2,6.4,1.35,0.5,2.6,11.8,118.6,104.1
Ben Simmons,57,35.4,20.9,0.621,0.286,0.58,16.4,7.8,8,2.11,0.58,3.51,11.4,115.2,100.7
Jusuf Nurkic,8,31.7,24,0.886,0.2,0.505,17.6,10.3,4,1.38,2,2.38,11.3,115.5,98.3
Jabari Parker,6,13.4,23.7,0.889,0.25,0.597,8.5,3.8,1.7,0.5,0.17,0.67,11.3,128.7,106.1
Nikola Vucevic,62,32.2,25.8,0.784,0.339,0.525,19.6,10.8,3.6,0.87,0.76,1.42,11.3,113.4,103
Bam Adebayo,72,33.6,21.2,0.691,0.143,0.558,15.9,10.2,5.1,1.14,1.29,2.82,11.2,116.2,102.2
Andre Drummond,49,33.7,25.5,0.584,0.048,0.531,17.8,15.8,2.8,1.98,1.67,3.55,11,104.3,97.5
Frank Mason,9,13.1,24.3,0.588,0.286,0.51,6.9,2.1,3.2,0.56,0.11,1.22,11,109.2,96.8
Khris Middleton,62,29.9,26.3,0.916,0.415,0.575,20.9,6.2,4.3,0.85,0.11,2.19,11,118.1,97.8
Jimmy Butler,58,33.8,25.1,0.834,0.244,0.474,19.9,6.6,6,1.78,0.55,2.19,10.9,122.5,107.2
Kyle O'Quinn,29,10.8,15.7,0.55,0.259,0.535,3.5,4,1.8,0.24,0.83,0.69,10.9,116,97.7
Malcolm Brogdon,54,30.9,25.2,0.892,0.326,0.488,16.5,4.9,7.1,0.65,0.19,2.43,10.8,110.4,106.9
Damian Lillard,66,37.5,30.3,0.888,0.401,0.563,30,4.3,8,1.06,0.33,2.94,10.8,126.1,115.5
Eric Bledsoe,61,27,23.7,0.79,0.344,0.526,14.9,4.7,5.4,0.92,0.43,2.43,10.7,111.4,98.2
Anthony Davis,62,34.4,29.3,0.846,0.33,0.536,26.1,9.3,3.2,1.47,2.31,2.48,10.7,120.3,100.6
D'Angelo Russell,12,32.6,29.5,0.873,0.345,0.505,21.7,4.6,6.6,1.42,0.33,3.92,10.7,105.1,110.2
Paul George,48,29.6,29.6,0.876,0.412,0.539,21.5,5.7,3.9,1.4,0.42,2.6,10.6,111.9,100.9
Chris Paul,70,31.5,23.3,0.907,0.365,0.552,17.6,5,6.7,1.59,0.16,2.3,10.6,120.4,103
Mason Plumlee,61,17.3,18,0.535,0,0.615,7.2,5.2,2.5,0.52,0.61,1.33,10.5,117.4,98.1
Ricky Rubio,65,31,20.4,0.863,0.361,0.471,13,4.7,8.8,1.45,0.17,2.66,10.5,112.4,105.2
Shamorie Ponds,4,2.7,23.7,1,0.5,0.7,2.3,0.3,0.5,0,0.25,0,10.4,,
Jonas Valanciunas,70,26.4,21.6,0.74,0.352,0.605,14.9,11.3,1.9,0.44,1.1,1.81,10.4,119.1,100.1
DeMar DeRozan,68,34.1,26.3,0.844,0.257,0.535,22.1,5.5,5.6,1.03,0.29,2.41,10.3,118.3,108.6
Kevin Love,56,31.8,23.2,0.854,0.374,0.55,17.6,9.8,3.2,0.59,0.34,2.52,10.3,112.5,110.1
Chimezie Metu,18,5.9,23.7,0.769,0,0.571,3.2,1.8,0.6,0.17,0.33,0.56,10.3,113,108.4
Ja Morant,67,31,25.9,0.776,0.335,0.509,17.8,3.9,7.3,0.88,0.27,3.28,10.3,108.4,110.7
Julius Randle,64,32.5,27.6,0.733,0.277,0.493,19.5,9.7,3.1,0.8,0.34,3.03,10.3,104.4,105.7
Bradley Beal,57,36,34.4,0.843,0.353,0.52,30.6,4.2,6.1,1.26,0.4,3.42,10.2,112.6,114
De'Aaron Fox,51,32,29.8,0.705,0.292,0.513,21.1,3.8,6.8,1.45,0.49,3.12,10.2,110.4,106.7
D'Angelo Russell,33,32.1,32.2,0.785,0.374,0.524,23.6,3.7,6.2,0.91,0.27,3.06,10.2,106.7,112.3
Spencer Dinwiddie,64,31.2,29.2,0.778,0.308,0.476,20.6,3.5,6.8,0.63,0.33,2.72,10.1,111,105.1
Boban Marjanovic,42,10,26.9,0.754,0.235,0.586,6.9,4.7,0.5,0.19,0.24,0.74,10.1,118.8,96.6
Elfrid Payton,45,27.7,19.5,0.57,0.203,0.455,10,4.7,7.2,1.58,0.38,2.11,10.1,104.8,107.8
Devin Booker,70,35.9,30,0.919,0.354,0.544,26.6,4.2,6.5,0.69,0.26,3.77,10,115.3,107.3
Andre Drummond,8,28.1,28.8,0.513,0.286,0.571,17.5,11.1,1.8,1.5,1.38,3.63,10,99.3,100.8
Brandon Ingram,62,33.9,28.1,0.851,0.391,0.531,23.8,6.1,4.2,0.98,0.6,3.03,10,111.4,106.8
Dejounte Murray,66,25.6,20.8,0.798,0.369,0.494,10.9,5.8,4.1,1.68,0.26,1.89,10,104.7,104.4
Lonzo Ball,63,32.1,18.4,0.566,0.375,0.511,11.8,6.1,6.9,1.41,0.59,3.05,9.9,103.1,108.2
James Johnson,14,24.2,21.4,0.676,0.37,0.566,12,4.7,3.8,1.29,1.43,2.36,9.9,109.1,100.9
