FULL NAME,MPG,USG%,FT%,3P%,eFG%,PPG,RPG,APG,SPG,BPG,TO,VI,ORTG,DRTG
Jalen Jones,13.4,16.7,0.704,0.357,0.5,5.1,2.1,0.4,0.56,0.13,0.5,4.8,111.1,106.2
Austin Rivers,28.6,13.9,0.51,0.321,0.507,8.7,1.9,2.3,0.62,0.28,0.68,4.7,109.2,106.9
Avery Bradley,29.9,14.2,0.8,0.337,0.452,8.2,2.7,2,0.55,0.33,1.24,4.7,93.6,108.1
Robert Covington,33.8,14.2,0.739,0.39,0.556,11.3,5.2,1.1,1.85,1.77,1.69,4.7,102.3,101.2
Jared Terrell,7.9,19.2,0.5,0.235,0.368,2.2,0.4,0.9,0.21,0.14,0.71,4.7,74.8,104.2
Patrick Patterson,13.7,12,0.633,0.336,0.479,3.6,2.3,0.5,0.25,0.21,0.35,4.7,105.7,107.1
Semi Ojeleye,10.6,14.1,0.615,0.315,0.513,3.3,1.5,0.4,0.18,0.07,0.34,4.7,106.3,106.7
Deonte Burton,7.5,16.3,0.667,0.296,0.451,2.6,0.9,0.3,0.19,0.25,0.28,4.7,94.4,99.3
Landry Shamet,20.5,15,0.815,0.404,0.584,8.3,1.4,1.1,0.44,0.15,0.48,4.6,119.4,105.9
Wesley Johnson,14.5,11.2,0.667,0.38,0.506,3.7,2.1,0.6,0.46,0.27,0.42,4.6,103.2,104.6
Edmond Sumner,9.1,17.6,0.625,0.259,0.398,2.9,1,0.4,0.52,0.22,0.43,4.6,91.2,97.9
Abdel Nader,11.4,15.1,0.75,0.32,0.498,4,1.9,0.3,0.33,0.2,0.43,4.6,101.9,101.2
Timothe Luwawu-Cabarrot,5.8,16.5,0.667,0.227,0.36,1.7,0.9,0.2,0.19,0.05,0.19,4.6,83.9,100.2
Ryan Anderson,4.4,11.7,0.5,0.333,0.333,0.7,0.9,0.2,0.1,0,0.2,4.6,86.6,108.3
Julian Washburn,14.1,10,0.75,0.208,0.385,2.2,2.3,0.8,0.72,0.11,0.39,4.5,89.2,105.4
Gerald Green,20.2,19.5,0.838,0.354,0.535,9.2,2.5,0.5,0.45,0.37,0.74,4.5,107.6,107
Carmelo Anthony,29.4,20.5,0.682,0.328,0.492,13.4,5.4,0.5,0.4,0.7,0.8,4.5,103.7,103.4
Haywood Highsmith,8,12.5,0,0.2,0.45,1.8,1,0.4,0.2,0,0.2,4.5,83.3,111.3
Gary Trent Jr.,7.4,21.8,0.429,0.238,0.37,2.7,0.7,0.3,0.07,0.13,0.27,4.5,80.5,112.6
Wesley Matthews,27,18.4,0.8,0.2,0.263,7,1.5,2.5,0.5,0.5,1,4.4,78.1,116.7
Garrett Temple,31.2,13.8,0.75,0.352,0.525,9.4,3.1,1.4,1.02,0.49,1.1,4.4,102.9,105
Rodney Hood,24.4,16.3,0.805,0.345,0.518,9.6,1.6,1.3,0.81,0.22,0.7,4.4,111.8,108.6
Lance Thomas,17,12.9,0.75,0.278,0.452,4.5,2.5,0.6,0.37,0.15,0.52,4.4,97.5,106.7
Troy Daniels,14.9,17.6,0.783,0.381,0.545,6.2,1.4,0.5,0.51,0.1,0.53,4.4,104.6,110.3
Gary Clark,12.6,10.9,1,0.297,0.467,2.9,2.3,0.4,0.39,0.53,0.14,4.4,108.5,106.5
Khyri Thomas,7.5,17.2,0.636,0.286,0.391,2.3,0.8,0.3,0.27,0.19,0.15,4.4,90.9,101.3
Alize Johnson,4.6,13.2,0.5,0.5,0.281,0.9,1.4,0.1,0.07,0.21,0,4.4,87.2,97.1
PJ Tucker,34.2,9.5,0.695,0.377,0.534,7.3,5.8,1.2,1.62,0.45,0.77,4.3,114.9,104.4
Reggie Bullock,27.6,13.7,0.81,0.343,0.523,9.3,2.6,1.1,0.84,0.37,0.58,4.3,107.6,109.1
Luc Mbah a Moute,15.3,15.4,0.4,0.333,0.5,5,1.8,0.5,0.25,0.25,0.5,4.3,98.2,103.6
Ben McLemore,8.3,19.5,0.667,0.415,0.523,3.9,0.9,0.2,0.32,0.16,0.26,4.3,105.3,102
Tyler Cavanaugh,3.6,12.9,1,0.2,0.35,0.8,0.7,0.1,0,0,0.09,4.3,,
Ron Baker,9.7,8.7,0.833,0.111,0.281,1.3,0.7,1.2,0.36,0,0.27,4.2,94.7,102.6
James Ennis III,23.7,11.9,0.724,0.367,0.597,7.4,2.9,0.7,0.95,0.4,0.6,4.2,123.6,103.2
Wesley Johnson,13.1,13.6,0.7,0.231,0.325,2.8,1.5,0.6,0.17,0.42,0.5,4.2,77.5,107.6
Glenn Robinson III,13,14.9,0.8,0.295,0.474,4.2,1.5,0.4,0.3,0.17,0.38,4.2,105,106.3
Brandon Sampson,15.3,15.2,0.667,0.379,0.558,5.1,1.1,0.7,0.57,0.21,0.86,4.1,98.6,109
Duncan Robinson,10.7,14,0.667,0.286,0.5,3.3,1.3,0.3,0.33,0,0.27,4.1,102.4,105.5
Melvin Frazier Jr.,4.4,23.3,0.25,0,0.333,1.5,0.5,0.1,0.1,0,0.1,3.8,75.1,100.1
Terrance Ferguson,26.1,10.6,0.725,0.366,0.552,6.9,1.9,1,0.54,0.22,0.65,3.6,111.9,101.8
Dairis Bertans,13.9,12,0,0.294,0.362,2.8,0.8,0.8,0.08,0,0.17,3.5,85.6,116.3
Alex Abrines,19,12.2,0.923,0.323,0.487,5.3,1.5,0.6,0.55,0.19,0.45,3.5,103.1,103.9
Malcolm Miller,6.7,18.4,0.75,0.476,0.615,3.5,0.5,0.1,0.1,0.1,0.1,3.3,121.8,106.8
Deng Adel,10.2,9.9,1,0.261,0.389,1.7,1,0.3,0.05,0.21,0.32,3.1,85.3,115.7
Nick Young,9.3,12.7,0,0.375,0.5,2.3,0.3,0.5,0,0.25,0.5,3,88.9,106.2
James Nunnally,18.8,15,0,0.25,0.346,4.5,0.5,1,0,0,0,2.8,83.7,102.6
Shelvin Mack,10.6,22.4,0.556,0,0.143,2.3,0.5,0.3,0.5,0,1,2.6,47.3,109.5
Patrick McCaw,17.6,9.9,0,0.25,0.278,1.7,1,0.7,0.67,0,1,2.4,51.9,119.7
Joe Chealey,7.8,16.6,0,0,0.333,2,0,1,0,0,0,0,86.2,107.5
Scott Machado,4.8,13.9,1,1,0.75,2.5,0,0.8,0.25,0,0,0,165.4,105.6
Tyler Zeller,5.4,7.6,0,0,0,0,3,0.5,0,0,0,0,82.4,74.1
Ron Baker,11.4,5.6,0,0,0,0,1,0.5,0.25,0.25,0.5,0,20.2,115
Ike Anigbogu,2.1,28.2,0,0,0,0,1,0.3,0,0.33,0.33,0,,
Zhou Qi,1,43.4,0,0,1,2,0,0,0,0,0,0,,
Zach Lofton,3.8,22.7,0,0,0,0,0,0,1,0,1,0,,
Yante Maten,6.5,13.2,0,0,0.25,1,1.5,0,0.5,0,0,0,70.8,108.9
Vincent Edwards,7.9,11.1,0,0.25,0.375,1.5,1,0,0,0,0,0,95.6,118.8
Tyler Ulis,0.8,0,0,0,,0,0,0,0,0,0,0,,
Tyler Davis,0.9,45.2,0,0,0,0,1,0,0,0,0,0,,
Terrence Jones,2.6,46.3,0,0,0.25,1,2,0,0,0,0.5,0,,
Tahjere McCall,8,18.1,0,0,0.667,4,1,0,0,0,0,0,107.8,88.8
Ray Spalding,0.9,0,0,0,,0,0,0,0,0,0,0,,
Okaro White,2.1,13.5,0,0,0,0,0.7,0,0,0,0,0,,
Malachi Richardson,4.7,16.3,0.8,0.32,0.448,1.4,0.6,0,0.05,0,0.36,0,78.8,100.2
Kostas Antetokounmpo,5.3,23.4,0.5,0,0,1,0.5,0,1,0,0.5,0,39.1,105.1
Kobi Simmons,1.8,0,0,0,,0,0,0,0,0,0,0,,
Jordan Sibert,4.2,9.7,0,1,1.5,3,0,0,0,0,0,0,300,124.5
John Holland,0.7,0,0,0,,0,0,0,0,0,0,0,,
Jawun Evans,0.6,67.9,0,0,0,0,0,0,0,0,0,0,,
Isaac Humphries,11.3,15.1,0,0.273,0.357,3,2.2,0,0.2,0,0,0,87.1,106.7
George King,5.9,0,0,0,,0,1,0,0,0,0,0,,120.8
Eric Moreland,5,0,0,0,,0,3,0,0,0,0,0,,85.1
Donte Grantham,0.8,33.9,0,0,0,0,0,0,0,0,0,0,,
DJ Stephens,6.7,20,0,0,0.5,2,0,0,1,0,1,0,59.7,110.2
BJ Johnson,7.2,17.7,1,0.5,0.594,3.5,1.3,0,0.33,0,0.33,0,112.2,110.5
BJ Johnson,6.1,13.5,0,0,0.5,2,0,0,0,0,0,0,100.7,104.1
Angel Delgado,7.4,16.8,0.5,0,0.2,1.5,2,0,0.5,0,0,0,79.2,98.9
Andrew Harrison,4.5,19.9,0,0,0.5,2,0,0,0,0,0,0,96.8,94.3
Andre Ingram,3.7,19.9,0,0,0,0,0.5,0,0.25,0,0.25,0,,
