FULL NAME,MPG,USG%,FT%,3P%,eFG%,PPG,RPG,APG,SPG,BPG,TO,VI,ORTG,DRTG
Vince Carter,17.5,16.7,0.712,0.389,0.55,7.4,2.6,1.1,0.58,0.36,0.63,6.3,111.7,107.7
Ersan Ilyasova,18.4,15.7,0.824,0.363,0.514,6.8,4.5,0.8,0.48,0.3,0.7,6.3,112.8,94.1
Tyler Dorsey,9.3,17.9,0.615,0.256,0.416,3.3,1.6,0.6,0.26,0.04,0.37,6.3,95.7,110.5
Bismack Biyombo,14.5,12.7,0.637,0,0.567,4.4,4.6,0.6,0.19,0.76,0.63,6.3,122,100.5
Thon Maker,11.7,16.3,0.541,0.333,0.537,4.7,2.7,0.5,0.29,0.51,0.26,6.3,112.5,94.1
Skal Labissiere,8.7,15.3,0.545,0.364,0.5,2.8,1.8,0.5,0.15,0.23,0.54,6.3,96,95.7
Lonnie Walker IV,6.9,20.3,0.8,0.385,0.402,2.6,1,0.5,0.41,0.12,0.24,6.3,92.7,105.5
Jarell Martin,7.8,15.9,0.818,0.351,0.51,2.7,1.7,0.4,0.07,0.19,0.26,6.3,105.6,94.9
JJ Redick,31.3,21.8,0.894,0.397,0.556,18,2.4,2.7,0.42,0.21,1.3,6.2,118.2,110.4
Tim Hardaway Jr.,29.3,23.9,0.767,0.321,0.489,15.5,3.2,1.9,0.58,0.11,1.26,6.2,101.8,108.5
Shaun Livingston,15.1,12,0.784,0,0.519,4,1.8,1.8,0.48,0.42,0.59,6.2,118.2,107.9
Marco Belinelli,23,19.8,0.903,0.372,0.52,10.5,2.5,1.7,0.44,0.1,0.9,6.2,108.7,108.5
Andrew Harrison,14.4,17,1,0.214,0.346,4.3,1.5,1.7,0.4,0.2,1,6.2,97,101.6
Ian Clark,16.2,19.3,0.892,0.327,0.48,6.7,1.5,1.6,0.37,0.13,0.97,6.2,97.9,108.5
Mike Muscala,22.2,14.3,0.818,0.342,0.514,7.4,4.3,1.3,0.38,0.57,0.91,6.2,112.4,102.8
Davis Bertans,21.5,14.1,0.883,0.429,0.61,8,3.5,1.3,0.46,0.43,0.57,6.2,121.9,105.4
Donte DiVincenzo,15.2,15.1,0.75,0.265,0.492,4.9,2.4,1.1,0.48,0.22,0.7,6.2,102.2,99.9
Tyrone Wallace,10.1,18.7,0.526,0.211,0.433,3.5,1.6,0.7,0.34,0.11,0.58,6.2,89.7,101.2
Justin Anderson,9.7,17.1,0.743,0.312,0.484,3.7,1.8,0.5,0.46,0.27,0.48,6.2,103.1,106.9
Jason Smith,10.2,22,1,0.286,0.333,4,2,0.5,0,0,0.5,6.2,93.3,104
Isaiah Canaan,26.4,14.3,0.75,0.347,0.492,7.5,2.6,3.3,0.63,0,1.53,6.1,99.8,112
Isaiah Canaan,13.6,15.4,1,0.368,0.5,4.7,0.7,2.7,0.29,0.14,0.57,6.1,117.2,115.3
Wayne Selden,22.9,18,0.714,0.313,0.461,8,3.2,1.7,0.53,0.16,1.3,6.1,94.1,108.8
Rodney McGruder,23.5,15.4,0.722,0.348,0.487,7.6,3.6,1.7,0.53,0.2,0.97,6.1,104.1,105.1
Kyle Korver,15.7,17.4,0.813,0.463,0.625,6.8,1.8,1.1,0.19,0.13,1.06,6.1,112,112.1
Sam Dekker,18.8,14.8,0.8,0.385,0.51,6.3,3.7,1,1.22,0,0.56,6.1,114.1,109.2
Ian Mahinmi,14.6,13,0.689,0.188,0.462,4.1,3.8,0.7,0.74,0.47,0.62,6.1,113.6,98.1
Channing Frye,9.5,17.5,0.786,0.405,0.504,3.6,1.4,0.6,0.17,0.14,0.36,6.1,104.2,106.4
Johnathan Williams,15.5,16.4,0.563,0,0.591,6.5,4.1,0.5,0.33,0.29,0.67,6.1,121.3,96.8
George Hill,26.5,17.2,0.85,0.464,0.575,10.8,2.1,2.8,0.92,0.08,1.54,6,115.8,110.9
Frank Ntilikina,21,16.6,0.767,0.287,0.395,5.7,2,2.8,0.7,0.33,1.3,6,88.1,106.1
