Rank,Player,Tm,First,Pts Won
1,Rudy Gobert,UTA,84,464
2,Ben Simmons,PHI,15,287
3,Draymond Green,GSW,0,76
4,Bam Adebayo,MIA,1,31
5,Giannis Antetokounmpo,MIL,0,12
6,Clint Capela,ATL,0,10
7,Joel Embiid,PHI,0,7
8,Jrue Holiday,MIL,0,6
9,Myles Turner,IND,0,3
10,Jimmy Butler,MIA,0,2
