Player,PER,TS%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
A.J. Green,11.5,0.607,16.6,0.5,0.3,0.8,-0.3,-0.6,-0.9,0.1
Danny Green,10.8,0.617,18.9,0,0.2,0.2,-2.1,0.2,-1.9,0
Draymond Green,12.2,0.592,13.2,1.6,3.1,4.7,-1.8,2.6,0.8,1.6
Jalen Green,14.5,0.538,28.1,1.4,0.5,1.8,0.5,-2.6,-2.1,0
JaMychal Green,15.5,0.65,17.5,1.2,1,2.2,-0.7,0.2,-0.5,0.3
Javonte Green,14.5,0.646,13.6,0.6,0.8,1.4,-1.1,2.5,1.4,0.4
Jeff Green,11,0.576,17,0.8,0.8,1.7,-2.4,-1,-3.4,-0.4
Josh Green,11.2,0.645,14.6,1.7,0.9,2.6,-1.9,-0.6,-2.4,-0.2
AJ Griffin,12.6,0.577,17.9,1.3,0.9,2.2,-0.3,-0.5,-0.8,0.4
Blake Griffin,13.1,0.59,12.7,1,0.8,1.8,-1.4,1.5,0.1,0.3
Quentin Grimes,11.7,0.619,14.4,3.2,1.6,4.8,-0.3,0.1,-0.1,1
Rui Hachimura,13.2,0.556,20.2,0.6,1.3,1.8,-1.3,-1,-2.2,-0.1
Tyrese Haliburton,23.6,0.624,23.8,6.4,1.2,7.6,7,0.2,7.2,4.4
Jordan Hall,5.5,0.438,19.4,-0.1,0,-0.1,-4.7,-2.9,-7.6,-0.1
R.J. Hampton,10.8,0.558,17.8,0.1,0.5,0.7,-2.3,-0.6,-2.9,-0.2
Tim Hardaway Jr.,12.1,0.554,20.6,1,1.3,2.3,-0.3,-1.5,-1.8,0.1
James Harden,21.6,0.607,25,5.8,2.6,8.4,5.1,0.3,5.4,4
Jaden Hardy,14.6,0.571,26.4,0.2,0.5,0.7,-0.4,-1.9,-2.3,0
Ron Harper Jr.,15.7,0.608,14.6,0.1,0,0.2,2.4,-1.2,1.2,0
Montrezl Harrell,17.6,0.631,18.9,1.3,0.8,2.2,-0.9,-0.4,-1.3,0.1
Gary Harris,10.5,0.62,12.6,1.3,1.1,2.3,-1.4,0.7,-0.7,0.4
Joe Harris,10.6,0.621,14.3,1.5,1.1,2.6,-0.6,-0.6,-1.1,0.3
Kevon Harris,9.2,0.564,13.7,0.2,0.4,0.6,-3.5,-0.1,-3.6,-0.2
Tobias Harris,14.8,0.602,18.2,3.1,2.8,5.9,0.6,0.1,0.7,1.7
Shaquille Harrison,17.9,0.516,17.6,0.2,0.2,0.3,-2.5,2.6,0.1,0.1
Josh Hart,14.1,0.622,12.6,3.8,2.2,6,-0.2,1.1,0.9,1.8
Isaiah Hartenstein,14.2,0.567,11.2,2.2,2.4,4.6,-1.5,1.2,-0.3,0.7
Udonis Haslem,6.2,0.433,20.1,-0.1,0.1,0,-8.2,-3.9,-12.1,-0.2
Sam Hauser,12.7,0.634,14.7,1.8,1.6,3.4,0.6,0.4,1,1
Jaxson Hayes,13.7,0.605,15.7,0.6,0.9,1.5,-2.2,1,-1.2,0.1
Killian Hayes,10.2,0.455,20.5,-1.9,1.4,-0.5,-3.3,-0.5,-3.8,-1
Gordon Hayward,13.5,0.563,20,0.8,1.1,2,-1.1,-0.3,-1.4,0.2
Juancho Hernangómez,7.6,0.504,9.4,0.1,0.6,0.7,-3.5,0.2,-3.3,-0.2
Willy Hernangómez,20.7,0.61,23.8,0.8,0.8,1.6,-0.2,0.5,0.3,0.3
Tyler Herro,15.3,0.566,25.6,1.1,2.4,3.5,1.5,-0.8,0.6,1.6
Buddy Hield,15.4,0.614,20.8,2.7,1.6,4.4,2.5,-0.6,1.9,2.4
Haywood Highsmith,8.5,0.517,12.5,-0.3,1.3,0.9,-3.7,0.7,-3.1,-0.3
George Hill,10.6,0.61,11.3,1.1,0.8,1.9,-2.4,0.9,-1.5,0.1
Malcolm Hill,15.4,0.625,19.7,0,0,0,1.6,0.8,2.4,0
Aaron Holiday,9.4,0.528,13.4,0.3,0.6,0.9,-2.9,0.9,-2,0
Jrue Holiday,19.2,0.586,25,3.9,2.8,6.7,3,0.1,3.1,2.8
Justin Holiday,6.6,0.494,14.1,-0.4,0.5,0.1,-3.7,-0.1,-3.9,-0.3
Richaun Holmes,12.9,0.668,13.7,0.6,0.3,0.8,-2,-0.9,-2.9,-0.1
Al Horford,13.8,0.631,11.9,3.6,2.7,6.3,1.6,1.7,3.3,2.5
Talen Horton-Tucker,13.7,0.508,25.9,-0.3,1.1,0.8,-1.1,-0.5,-1.6,0.2
Danuel House Jr.,9.4,0.6,13.8,0.6,0.7,1.3,-2.5,-0.5,-3,-0.2
Caleb Houstan,6.2,0.508,11,0.1,0.5,0.7,-3.1,-0.9,-4,-0.4
Trevor Hudgins,4.2,0.436,16.8,0,0,0,-3.8,-4.7,-8.4,0
Kevin Huerter,15.2,0.617,19.9,3.3,1.7,4.9,1.4,-0.3,1,1.7
Jay Huff,22.3,0.796,16.9,0.4,0.1,0.5,2.8,1.2,4,0.1
De'Andre Hunter,11.5,0.563,19.7,1.4,1.2,2.5,-1.9,-1.4,-3.3,-0.7
Bones Hyland,14.9,0.535,28,0.3,1.1,1.4,0.4,-1.2,-0.8,0.3
Serge Ibaka,9.8,0.553,16.1,0,0.2,0.2,-4.6,0,-4.5,-0.1
Andre Iguodala,7.3,0.521,9.4,0,0.1,0.1,-4.3,1.7,-2.5,0
Joe Ingles,10.7,0.616,12.6,1.1,1.2,2.3,-1.6,0.8,-0.7,0.3
Brandon Ingram,19.2,0.582,30.8,1.8,1.7,3.5,2.2,-0.4,1.7,1.4
Kyrie Irving,22.4,0.613,28.9,5.4,2,7.4,4.8,-0.7,4.1,3.5
Jonathan Isaac,20.3,0.483,21.1,0,0.3,0.3,1,3,4,0.2
Jaden Ivey,12.1,0.528,25.4,-0.9,0.8,0,-1.4,-1.9,-3.3,-0.7
Frank Jackson,-6.8,0,25.1,0,0,0,-12.5,-9.8,-22.2,0
Isaiah Jackson,17.5,0.595,17.4,1.5,1.2,2.7,-1.7,0.9,-0.8,0.3
Jaren Jackson Jr.,21.6,0.613,24.7,2.8,3.8,6.6,0.7,2,2.8,2.2
Justin Jackson,6.3,0.359,12.2,-0.1,0.2,0.1,-4.2,1.6,-2.6,0
Quenton Jackson,12.2,0.542,17.9,0.1,0.1,0.2,-3.7,-1.5,-5.1,-0.1
Reggie Jackson,10,0.514,20.8,-0.6,1.2,0.6,-2.9,-1.1,-3.9,-0.8
LeBron James,23.9,0.583,33.3,3.2,2.4,5.6,5.5,0.6,6.1,4
Ty Jerome,12.8,0.594,14.9,1.4,0.7,2.1,-1.1,0.3,-0.8,0.3
Isaiah Joe,14.5,0.626,17.7,2.5,1.3,3.8,1.3,-0.4,0.9,1
Alize Johnson,4.3,0.509,15,-0.1,0,-0.1,-7.4,-1.7,-9.1,-0.1
Cameron Johnson,17.1,0.617,20.6,2.1,1.4,3.5,2,0.6,2.6,1.4
Jalen Johnson,14.1,0.554,16,0.8,1.3,2.1,-1.2,1.5,0.3,0.6
James Johnson,8.4,0.486,15.7,-0.1,0.2,0.1,-5.7,1.2,-4.4,-0.1
Keldon Johnson,15.3,0.551,27.9,0.7,0.5,1.3,0.7,-2.5,-1.8,0.1
Keon Johnson,9,0.482,25,-0.7,0.2,-0.5,-3.8,-1.6,-5.4,-0.4
Stanley Johnson,13.5,0.625,15.2,0.5,0.3,0.7,-0.8,-0.2,-1,0.1
Nikola Jokić,31.5,0.701,27.2,11.2,3.8,14.9,8.5,4.5,13,8.8
Carlik Jones,11.1,0.54,16.2,0,0.1,0.1,-2.8,0.4,-2.5,0
Damian Jones,12.9,0.719,10.7,0.7,0.5,1.2,-2,0.3,-1.7,0
Derrick Jones Jr.,13.8,0.597,14.5,1.2,1.2,2.4,-1.2,0.8,-0.4,0.3
Herbert Jones,12.1,0.567,14.5,1.5,2.7,4.2,-1.9,1.7,-0.3,0.8
Kai Jones,10.8,0.597,12.4,0,0.7,0.7,-4.8,0.8,-4,-0.3
Tre Jones,16,0.534,19.3,2.6,0.8,3.4,-0.2,-0.8,-1,0.5
Tyus Jones,16,0.546,17.7,3.4,2.3,5.7,1.2,0.3,1.6,1.7
DeAndre Jordan,14.7,0.731,13.7,0.5,0.9,1.4,-2.4,0.7,-1.8,0
Cory Joseph,12.1,0.558,15.2,1.5,0.3,1.8,-0.7,-0.8,-1.5,0.2
Nikola Jović,10.6,0.53,19,0,0.2,0.2,-3.4,0,-3.4,-0.1
Johnny Juzang,6.5,0.411,19.6,-0.3,0.1,-0.2,-4.3,-2.2,-6.5,-0.3
Mfiondu Kabengele,8.1,0.381,10.8,0,0.1,0.1,-6.6,-2.4,-8.9,-0.1
Frank Kaminsky,15.3,0.635,14.1,0.5,0.2,0.7,1.2,1.7,2.8,0.3
Trevor Keels,3.7,0.375,21.4,0,0,0,-7.4,-5.6,-13,0
Luke Kennard,13,0.684,14.5,2.2,1.2,3.4,0.6,-0.1,0.5,0.8
Walker Kessler,21.5,0.702,13.3,4.6,2.5,7.1,1.4,1.5,2.9,2.1
Braxton Key,18.6,1.064,8.9,0,0,0,2.1,0.8,2.9,0
Louis King,21.3,0.744,23.8,0.1,0,0.1,3.3,-1,2.3,0
Corey Kispert,11.5,0.657,14.1,2.9,0.9,3.8,-0.1,-1.4,-1.5,0.2
Maxi Kleber,8.7,0.592,10.3,0.7,0.6,1.3,-2.2,0,-2.2,0
Nathan Knight,14.5,0.655,18.7,0.4,0.3,0.7,-2.4,-0.8,-3.2,-0.1
Kevin Knox,11.1,0.579,18.4,0.2,0.5,0.7,-2.1,-1.4,-3.5,-0.4
Christian Koloko,11.4,0.517,10.4,0.7,1,1.7,-4.3,0.8,-3.5,-0.3
John Konchar,10.8,0.542,10.4,1,2.5,3.5,-1.9,2.4,0.5,0.9
Furkan Korkmaz,9.3,0.552,19.1,-0.2,0.3,0.1,-3.3,-1,-4.4,-0.2
Luke Kornet,16.7,0.697,11.5,2.1,1.2,3.3,-0.4,1.3,1,0.6
Vit Krejci,7.7,0.475,10.9,0,0.1,0.1,-4.2,0.6,-3.6,-0.1
Jonathan Kuminga,13.3,0.597,19.6,1,1.4,2.4,-1.7,-0.1,-1.7,0.1
Kyle Kuzma,14.3,0.544,27.9,-1,1.9,0.9,-0.2,-1.5,-1.7,0.2
Anthony Lamb,10.9,0.61,13.8,1.2,1.2,2.4,-1.6,0.4,-1.1,0.3
Jock Landale,16.4,0.595,19.3,1.5,1.2,2.7,-0.7,-0.4,-1.1,0.2
Romeo Langford,10.4,0.524,15.4,0.3,0.2,0.5,-2.6,-1.5,-4.2,-0.5
Jake LaRavia,6.7,0.531,11.7,0,0.5,0.5,-3.9,0.4,-3.5,-0.2
Zach LaVine,19,0.607,28.3,4.2,2.9,7.1,2.7,-0.7,1.9,2.7
A.J. Lawson,13.9,0.589,21.1,0.1,0.1,0.1,-1.5,-2.9,-4.4,-0.1
Damion Lee,10.7,0.607,16.3,1.1,1.4,2.6,-1.3,-0.4,-1.7,0.1
Saben Lee,13.1,0.517,19.5,0.2,0.4,0.7,-2.7,0.9,-1.8,0
Alex Len,12.8,0.58,14.1,0.1,0.2,0.3,-4.9,0.9,-4,-0.1
Kawhi Leonard,23.9,0.623,27,4.9,2.2,7.1,5.1,0.9,6.1,3.5
Meyers Leonard,12,0.652,14.4,0.2,0.1,0.3,-2.8,-2.2,-5,-0.1
Caris LeVert,12.4,0.546,18.7,1.4,3.1,4.4,-1,0.8,-0.2,1
Kira Lewis Jr.,14.5,0.584,19.7,0.3,0.3,0.6,-0.8,0.5,-0.3,0.1
Damian Lillard,26.7,0.645,33.8,8.2,0.8,9,8.3,-1.2,7.1,4.9
Nassir Little,10.2,0.555,16,0.2,0.4,0.7,-1.6,-1.4,-3,-0.3
Isaiah Livers,8.4,0.567,11.9,0.5,0.5,1,-2.1,-0.3,-2.4,-0.1
Kenneth Lofton Jr.,20.2,0.572,27.6,0.3,0.2,0.5,0.7,-1.1,-0.4,0.1
Kevon Looney,17.8,0.639,10.6,5.9,2.8,8.7,0.9,1.3,2.1,2
Brook Lopez,18.4,0.63,19.3,4.1,3.9,8,0.8,1.3,2.1,2.5
Robin Lopez,11.6,0.675,16.1,0.2,0.3,0.6,-3.4,0.3,-3,-0.1
Kevin Love,13.1,0.548,19.2,0.6,2,2.6,0.2,0.4,0.6,0.8
Kyle Lowry,12.6,0.565,16.7,1.5,1.9,3.4,-0.7,0.8,0.2,0.9
Trey Lyles,14.2,0.607,18.1,1.4,1.2,2.6,0,-0.9,-1,0.3
Théo Maledon,11.6,0.515,17,0,0.9,0.8,-3,0.5,-2.5,-0.1
Sandro Mamukelashvili,13.4,0.516,18.2,0.4,0.5,0.9,-1.1,-1.3,-2.4,-0.1
Terance Mann,13.4,0.619,15.3,2.8,1.5,4.3,-0.3,0.1,-0.2,0.8
Tre Mann,10,0.492,20.7,-0.6,1.1,0.5,-3,-1,-3.9,-0.6
Boban Marjanović,23.4,0.71,20.8,0.4,0.1,0.6,3,-1.5,1.6,0.2
Lauri Markkanen,22.1,0.64,26.6,6.3,1.9,8.2,4.9,-1,3.8,3.3
Naji Marshall,11.4,0.539,17.8,0.5,2,2.5,-1.9,0,-1.9,0.1
Caleb Martin,11.4,0.571,14.4,1.2,2.5,3.7,-1.8,0.5,-1.2,0.4
Cody Martin,8.7,0.448,12.9,0,0.1,0.1,-3.8,-0.8,-4.6,-0.1
Kenyon Martin Jr.,15.4,0.635,16.4,4.2,0.7,4.9,0.6,-1.3,-0.7,0.7
Tyrese Martin,7.7,0.44,16.5,0,0,0,-4.2,-3.1,-7.4,-0.1
Garrison Mathews,9.7,0.573,14.7,0.7,0.3,1,-2,-0.4,-2.4,-0.1
Bennedict Mathurin,13.1,0.566,24.6,1,0.8,1.8,-1.2,-2.5,-3.7,-1
Wesley Matthews,7,0.519,9.8,0.3,0.9,1.2,-3.4,0.8,-2.7,-0.1
Tyrese Maxey,17,0.605,24.1,3.7,1.6,5.4,1.9,-1.2,0.6,1.3
Skylar Mays,19.4,0.624,19.3,0.6,0.1,0.7,2.1,-2.1,0,0.1
Miles McBride,8.4,0.475,14.6,0,0.7,0.7,-3.6,1.4,-2.3,-0.1
Mac McClung,19.2,0.563,27.5,0.1,0,0.1,2.2,-1.7,0.5,0
CJ McCollum,15.6,0.541,26.4,1.5,2.8,4.3,1.5,-0.7,0.8,1.9
T.J. McConnell,16.8,0.59,19.1,1.9,1.2,3.1,0.4,0.1,0.5,1
Jaden McDaniels,12,0.611,15.8,2,2.4,4.4,-1.7,0.5,-1.2,0.5
Jalen McDaniels,11.8,0.557,17.2,0.5,2.2,2.7,-2.7,0.6,-2.1,-0.1
Doug McDermott,11.2,0.59,19.2,1,0,1,-0.7,-2.5,-3.2,-0.4
JaVale McGee,17.2,0.65,22.8,0.1,0.5,0.6,-3.6,-0.1,-3.7,-0.1
Bryce McGowens,7.2,0.519,15,-0.4,0.4,0.1,-4.6,-1.4,-6,-0.8
Rodney McGruder,10.7,0.566,14,0.5,0.2,0.7,-0.8,-0.7,-1.5,0.1
Jordan McLaughlin,11.8,0.526,11.7,0.7,0.6,1.3,-1.3,0.6,-0.7,0.2
De'Anthony Melton,12.7,0.566,16.4,1.1,3.1,4.2,-0.7,1.6,0.9,1.6
Sam Merrill,15.5,0.546,17.3,0.1,0.1,0.2,-1.2,2.5,1.2,0
Chimezie Metu,17.3,0.639,17.6,1.2,0.8,2.1,-0.3,0.2,-0.1,0.3
Khris Middleton,17.4,0.551,27.4,1,1,1.9,1,-0.3,0.8,0.6
Patty Mills,10.6,0.554,19.7,0,0.4,0.4,-1.4,-1.7,-3.1,-0.2
Shake Milton,12.7,0.575,18.5,1.6,1.2,2.9,-1,-0.9,-2,0
Justin Minaya,4,0.363,13.4,-0.2,0.1,-0.1,-7.2,-1.9,-9,-0.2
Josh Minott,17.9,0.582,18.9,0.1,0.2,0.3,-1.9,0.4,-1.6,0
Davion Mitchell,9.4,0.545,14.1,0.7,0.8,1.5,-2.4,-0.4,-2.8,-0.3
Donovan Mitchell,22.9,0.614,32.1,5.4,3.5,8.9,5.6,0.6,6.3,5
Evan Mobley,17.9,0.591,20.2,3.7,4.8,8.5,0,1.6,1.7,2.5
Isaiah Mobley,14.1,0.521,16.4,0.1,0.2,0.2,-2.5,1.1,-1.4,0
Chima Moneke,-3.5,0.347,26.2,0,0,0,-12.7,-8,-20.7,0
Malik Monk,16.6,0.587,25.8,2.1,1.2,3.2,1.6,-1.4,0.3,1
Moses Moody,10.3,0.603,14.6,0.7,0.6,1.3,-1.7,-0.9,-2.6,-0.1
Xavier Moon,7.2,0.389,21.8,0,0,0,-4.1,-1,-5.1,0
Wendell Moore Jr.,9.3,0.465,14.9,-0.1,0.2,0.1,-3.8,1.3,-2.4,0
Ja Morant,23.3,0.557,34.9,3.4,2.6,6,5.2,0.5,5.7,3.8
Marcus Morris,10.5,0.534,17.6,0.4,1.6,2,-1.8,-0.2,-1.9,0
Markieff Morris,10.4,0.553,17.2,0.1,0.4,0.4,-2.3,-0.4,-2.7,-0.1
Monte Morris,15,0.579,15.6,3.1,1.1,4.2,0.8,-0.4,0.5,1.1
Trey Murphy III,15.2,0.65,16.6,4.8,2.8,7.6,1.4,0.4,1.8,2.3
Dejounte Murray,17,0.54,24.4,2.4,2.3,4.7,1.1,0,1,2.1
Jamal Murray,18,0.571,26.1,3.3,1.9,5.1,2.6,-1.3,1.3,1.8
Keegan Murray,12.3,0.597,15.8,2.6,1.7,4.3,0.4,-1,-0.6,0.8
Mike Muscala,13,0.608,15.1,1.4,1.1,2.5,-0.3,-0.1,-0.4,0.4
Svi Mykhailiuk,14,0.584,19.3,0.5,0.3,0.8,0.5,-0.7,-0.1,0.2
Larry Nance Jr.,16,0.649,11.9,2.8,2.1,4.9,0,2,2,1.4
Andrew Nembhard,10,0.528,16.1,0.4,0.8,1.2,-2.4,-0.8,-3.2,-0.6
Aaron Nesmith,10.5,0.566,16.8,0.9,1.1,2,-2.3,-0.7,-3,-0.4
Raul Neto,12.6,0.628,13.2,0.8,0.6,1.5,-1.7,1.5,-0.2,0.2
Georges Niang,10.9,0.61,17,1.1,1.4,2.5,-0.4,-1,-1.4,0.2
Daishen Nix,5.3,0.447,15.4,-1.5,0.3,-1.2,-5,-1.5,-6.5,-1
Zeke Nnaji,12.5,0.62,15.2,0.9,0.7,1.6,-2.7,-0.9,-3.7,-0.3
Nerlens Noel,7.9,0.424,12,-0.3,0.3,0,-6.5,2.6,-3.8,-0.1
Jaylen Nowell,13.7,0.527,25,0,1.2,1.2,-1.5,-1,-2.5,-0.2
Frank Ntilikina,5.2,0.461,13.1,-0.5,0.4,-0.1,-6.1,-0.7,-6.7,-0.7
Kendrick Nunn,11.1,0.53,23.7,-0.6,0.8,0.2,-2,-1.5,-3.5,-0.4
Jusuf Nurkić,17.3,0.589,22.1,1.2,1.5,2.7,-0.6,0.7,0.1,0.7
Jordan Nwora,12.2,0.561,19.4,0.5,1,1.5,-0.8,-1.3,-2.1,0
Royce O'Neale,9.2,0.538,13.6,0.4,2.5,2.9,-1.7,0.6,-1.1,0.5
Chuma Okeke,9.1,0.488,12.3,0,0.6,0.7,-2.4,0.8,-1.6,0.1
Josh Okogie,13.3,0.531,17.7,1.1,1.7,2.8,-0.8,0.5,-0.2,0.6
Onyeka Okongwu,19.4,0.678,15.1,4.7,2.4,7.1,0,0.8,0.8,1.3
Isaac Okoro,10.7,0.614,11.9,1.9,2.3,4.2,-1.9,1.6,-0.3,0.7
KZ Okpala,6.2,0.554,8.4,0.1,0.2,0.3,-4.3,1.1,-3.2,-0.1
Victor Oladipo,10.6,0.513,21.1,-0.9,1.5,0.6,-2.9,0.8,-2.1,0
Kelly Olynyk,14.4,0.643,17.8,2.4,1.9,4.3,-0.4,0.9,0.4,1.2
Eugene Omoruyi,10.9,0.533,19.3,0.1,0.5,0.6,-3.5,-0.9,-4.4,-0.4
Cedi Osman,12,0.579,18.2,1.4,1.9,3.3,-0.8,0.2,-0.7,0.5
Kelly Oubre Jr.,14.8,0.534,26.5,0.1,1.5,1.7,-0.4,-0.7,-1.1,0.3
Chris Paul,17.7,0.555,19.2,3.7,2.5,6.2,2,1.2,3.2,2.5
Cameron Payne,13.2,0.512,24.8,0,1,1.1,-0.5,-0.7,-1.2,0.2
Gary Payton II,13.3,0.701,10.3,0.6,0.4,1,-1.2,1.5,0.3,0.2
Theo Pinson,10.1,0.512,14.7,0.2,0.2,0.5,-2.5,-0.9,-3.4,-0.1
Scotty Pippen Jr.,9.6,0.439,23.7,-0.1,0,0,-5.1,-0.8,-5.9,0
Mason Plumlee,19.6,0.689,15.2,5.5,2.4,7.9,1.2,1,2.2,2.2
Jakob Poeltl,21,0.635,18.2,3.7,2.2,6,1.1,0.8,1.9,1.9
Aleksej Pokusevski,13.4,0.522,18.3,0,1,1,-1,1,0,0.3
Jordan Poole,14.6,0.573,29.2,1.4,1.9,3.2,-0.1,-1.8,-1.9,0.1
Kevin Porter Jr.,16.2,0.565,24.3,1.9,1,2.9,1.4,-0.8,0.6,1.3
Michael Porter Jr.,16.8,0.621,22.7,2.6,1.8,4.3,2,-1.8,0.2,1
Otto Porter Jr.,14,0.656,11,0.2,0.2,0.4,-1.3,2,0.7,0.1
Bobby Portis,17.8,0.575,21.7,2.5,2.8,5.3,1.2,-0.6,0.7,1.2
Kristaps Porziņģis,23.1,0.627,27.4,5,2.7,7.7,3.8,0.5,4.3,3.4
Micah Potter,18.6,0.8,13.7,0.2,0,0.2,2.4,1.2,3.5,0.1
Dwight Powell,15.5,0.738,12.6,3.8,1.3,5.1,-1.2,0,-1.2,0.3
Norman Powell,17.1,0.612,26,2.1,1.4,3.5,0.9,-0.7,0.3,0.9
Jason Preston,10.3,0.489,18.3,0,0.1,0.1,-2.1,-0.5,-2.6,0
Joshua Primo,6.1,0.467,18.2,-0.2,0,-0.1,-4.7,-1.6,-6.3,-0.1
Taurean Prince,10,0.597,17.3,0.3,1,1.3,-2.6,-0.6,-3.3,-0.4
Payton Pritchard,10.3,0.536,19.8,-0.1,0.7,0.6,-2.1,-1.2,-3.4,-0.2
Trevelin Queen,6,0.337,22.9,-0.3,0.1,-0.2,-5.6,-1.5,-7.2,-0.1
Neemias Queta,17,0.607,16.1,0.1,0,0.1,-2.6,-0.8,-3.4,0
Immanuel Quickley,16.3,0.578,20.9,4.4,2.3,6.7,1.3,0.4,1.7,2.1
