Player,PER,TS%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Dalen Terry,14.1,0.523,18.4,0.1,0.3,0.5,-1.7,1.7,0,0.1
Daniel Theis,14.2,0.497,20.1,0,0.1,0.1,-0.9,-0.5,-1.4,0
Cam Thomas,14.7,0.567,27.8,0.3,0.7,1,-0.7,-2,-2.7,-0.2
Klay Thompson,14.7,0.576,26.4,1.2,1.9,3.1,1.5,-1.7,-0.3,1
JT Thor,7,0.506,13.1,-0.6,0.8,0.2,-4.3,-0.4,-4.7,-0.7
Matisse Thybulle,10.5,0.552,10.6,0.6,1.5,2.1,-2.7,2.2,-0.5,0.4
Xavier Tillman Sr.,17.3,0.621,13.7,2.3,1.9,4.2,0.3,1.7,1.9,1.2
Isaiah Todd,-1,0.226,15.6,-0.2,0,-0.2,-10.3,-3.9,-14.2,-0.2
Obi Toppin,13.6,0.565,19.5,1.1,1,2.1,0.3,-0.8,-0.5,0.4
Juan Toscano-Anderson,7.2,0.505,11.3,-0.1,0.6,0.5,-4.6,0.8,-3.8,-0.3
Karl-Anthony Towns,18.8,0.618,25.6,1.5,1.1,2.7,2.1,0.9,3,1.2
Gary Trent Jr.,15,0.56,21.7,2.5,2,4.5,0.2,0,0.2,1.2
P.J. Tucker,5.7,0.566,6.5,0.9,1.7,2.5,-3.2,0.2,-3,-0.5
Myles Turner,20,0.651,22,3.4,2,5.4,1.4,0.7,2.1,1.9
Stanley Umude,65.6,0.532,40,0,0,0,15.9,32.7,48.6,0
Jonas Valančiūnas,19.3,0.61,23.4,2.8,3,5.8,0,-0.4,-0.4,0.8
Jarred Vanderbilt,15.1,0.604,13.6,2.7,2.5,5.2,-0.6,1.6,1.1,1.5
Fred VanVleet,17,0.54,23.2,3.7,2.8,6.5,2,0.5,2.5,2.9
Devin Vassell,15.5,0.55,24.4,0.7,0.5,1.2,1.3,-0.9,0.4,0.7
Gabe Vincent,9,0.533,17.5,-0.3,1.7,1.4,-3.1,-0.3,-3.4,-0.6
Noah Vonleh,5.9,0.502,9.2,0,0.3,0.2,-7,0.7,-6.3,-0.2
Nikola Vučević,19.1,0.594,21.9,3.9,4.4,8.3,1.9,0.7,2.7,3.2
Dean Wade,8.5,0.55,10.2,0.4,1.4,1.8,-2.9,2.1,-0.7,0.3
Franz Wagner,15.9,0.589,23.5,3.1,2.3,5.4,0.4,-0.5,-0.1,1.3
Moritz Wagner,17.4,0.63,21.1,2.1,1.3,3.4,0.4,0.2,0.6,0.7
Ish Wainright,9.2,0.522,12.2,0.5,1.2,1.7,-2.7,1.5,-1.2,0.2
Jabari Walker,9.6,0.496,17.3,-0.1,0.3,0.2,-3.9,-2.1,-6.1,-0.6
Kemba Walker,15,0.543,22.1,0.2,0.1,0.3,0.3,-0.6,-0.3,0.1
Lonnie Walker IV,12.2,0.57,20.2,0.8,1,1.8,-0.9,-0.5,-1.4,0.2
John Wall,13.6,0.498,27,-0.4,0.7,0.3,-0.8,-0.4,-1.2,0.1
T.J. Warren,13.5,0.55,19.5,0.4,0.8,1.2,-1.7,-0.2,-2,0
Duane Washington Jr.,9.3,0.458,32.5,-0.8,0.3,-0.5,-1.8,-2.8,-4.6,-0.3
