# Tm,Pos,Player,Age,Tm,Pts Won
1st,F,Giannis Antetokounmpo,25,MIL,195
1st,F,Anthony Davis,26,LAL,187
1st,G,Ben Simmons,23,PHI,185
1st,C,Rudy Gobert,27,UTA,180
1st,G,Marcus Smart,25,BOS,152
2nd,F,Kawhi Leonard,28,LAC,128
2nd,C,Brook Lopez,31,MIL,67
2nd,F,Bam Adebayo,22,MIA,61
2nd,G,Patrick Beverley,31,LAC,60
2nd,G,Eric Bledsoe,30,MIL,59
