Rank,Player,Tm,First,Pts Won
1,Giannis Antetokounmpo,MIL,78,941
2,James Harden,HOU,23,776
3,Paul George,OKC,0,356
4,Nikola Jokić,DEN,0,212
5,Stephen Curry,GSW,0,175
6,Damian Lillard,POR,0,69
7,Joel Embiid,PHI,0,49
8,Kevin Durant,GSW,0,25
9,Kawhi Leonard,TOR,0,13
10,Russell Westbrook,OKC,0,8
