# Tm,Pos,Player,Age,Tm,Pts Won
1T,F,Giannis Antetokounmpo,27,MIL,500
1T,G,Luka Dončić,22,DAL,476
1T,C,Nikola Jokić,26,DEN,476
1T,G,Devin Booker,25,PHO,460
1T,F,Jayson Tatum,23,BOS,390
2T,C,Joel Embiid,27,PHI,414
2T,G,Ja Morant,22,MEM,301
2T,F,Kevin Durant,33,BRK,276
2T,G,Stephen Curry,33,GSW,274
2T,F,DeMar DeRozan,32,CHI,184
