# Tm,Pos,Player,Age,Tm,Pts Won
1st,F,Jaren Jackson Jr.,23,MEM,195
1st,G,Jrue Holiday,32,MIL,192
1st,C,Brook Lopez,34,MIL,181
1st,F,Evan Mobley,21,CLE,132
1st,G,Alex Caruso,28,CHI,125
2nd,G,Derrick White,28,BOS,99
2nd,F,Draymond Green,32,GSW,89
2nd,F,OG Anunoby,25,TOR,81
2nd,G,Dillon Brooks,27,MEM,54
2nd,C,Bam Adebayo,25,MIA,53
