FULL NAME,GP,MPG,USG%,FT%,3P%,eFG%,PPG,RPG,APG,SPG,BPG,TO,VI,ORTG,DRTG
Dwight Powell,7,7.5,10.1,0.833,0,0.875,2.7,1.9,0.9,0.29,0,0.14,8.9,182.4,98.9
Josh Richardson,7,13.4,18.3,1,0.3,0.446,4.9,1.6,0.7,0.29,0,0.86,5.3,102.1,109.8
Jevon Carter,7,3.1,18.5,0,0,0.375,0.9,0.3,0.6,0,0,0,7,,
Mamadi Diakite,7,5,14.6,1,0.5,0.25,1,1,0,0.43,0.14,0.14,0,71.3,88.2
E'Twaun Moore,7,6.6,20.7,0,0.2,0.472,2.4,1.4,1.3,0.14,0,0.43,9.9,98.8,106.1
DeMarcus Cousins,7,8.3,42.5,0.786,0.4,0.5,7.6,2,0.7,0.29,0.43,0.71,10.6,110.3,89.9
Skylar Mays,7,2.4,15.5,0,0,0.8,1.1,0.3,0.1,0.29,0,0.14,5.3,,
Carmelo Anthony,6,23.9,22.6,0.909,0.378,0.533,12.3,3.2,1.5,0.33,0.17,1.17,6.5,112.1,110
Alex Caruso,6,20.1,17,1,0.294,0.434,5.8,1.3,0.5,0.17,0.67,1.17,3.1,82.3,103.7
Willie Cauley-Stein,6,10.5,9.6,1,0,0.667,2.5,2.7,0.5,0.33,0.67,0.5,5.7,126.8,100.6
Chris Chiozza,6,3.2,19.2,0,0.333,0.357,0.8,0.2,0.2,0.17,0,0.17,4,,
Mike Conley,6,29.3,22.5,1,0.486,0.559,15.3,3.5,7.7,0.17,0.5,2.33,10.2,128.8,106.5
Robert Covington,6,38.1,9.6,0.9,0.5,0.653,9.3,7.8,1.2,1.5,1,1.33,4.7,127.8,108.9
LeBron James,6,37.3,29.8,0.609,0.375,0.553,23.3,7.2,8,1.5,0.33,4.17,11.8,108.1,106.3
Kyle Kuzma,6,21.6,20,0.667,0.174,0.333,6.3,3.8,1.2,0.33,0.17,1,5.7,79.4,104.9
Damian Lillard,6,41.3,30.7,0.94,0.449,0.593,34.3,4.3,10.2,1,0.67,2.17,11.1,140.4,117.5
Wesley Matthews,6,18.4,14.4,1,0.28,0.409,5.5,1.7,0.3,0.33,0,0,3.1,108.7,101.2
CJ McCollum,6,39.9,24.8,0.769,0.333,0.5,20.7,6,4.3,0.33,0.67,2,8.1,107.6,110.2
Jusuf Nurkic,6,28.9,20.8,0.72,0.2,0.555,13.2,10.3,2.7,0.5,1.17,2.33,9.9,117.6,98.2
Norman Powell,6,36,19,0.889,0.385,0.566,17,2.2,2,0.83,1,1.17,4.7,121.3,114.3
Dennis Schroder,6,32.8,20.8,0.846,0.308,0.457,14.3,3,2.8,1,0.17,1.67,6,105.6,105
Anfernee Simons,6,17.9,10.9,0,0.611,0.78,6.5,2.7,0.8,0.33,0.17,0.17,5.4,156.4,115.1
Jeff Green,6,24.7,12.1,0.875,0.556,0.636,8.2,2.8,1.7,0.5,0.33,0.5,5.5,136.1,108.5
Jay Scrubb,6,1.3,0,0,0,,0,0.2,0,0,0,0,0,,
Jalen Smith,6,2.9,13.1,0,1,0.625,0.8,0.8,0.2,0,0,0.17,7,,
Bruno Fernando,6,2,14.7,1,0,0.667,1,0.2,0,0,0,0,0,,
Nathan Knight,6,2.3,25.1,0,0,0.286,0.7,1,0,0,0.33,0,0,,
Grayson Allen,5,23.2,12.5,0,0.381,0.485,6.4,2.6,0.2,0.4,0.2,0.2,2.6,100.8,106.3
Kyle Anderson,5,28.4,14.2,0.75,0.25,0.464,8.4,5,3.2,2.8,0,0.8,7.2,107.5,104.8
Desmond Bane,5,19.8,9.4,0,0.5,0.737,5.6,3.4,2,0.8,0.4,0.6,6.8,137.5,108.7
RJ Barrett,5,32.3,20.7,0.8,0.286,0.448,14.4,7.2,3,0.8,0.4,0.4,8.4,111.1,103.5
Bradley Beal,5,39.1,34,0.861,0.219,0.484,30,6.2,4.2,0.8,0.6,4,9.4,102.1,114.4
Dillon Brooks,5,34.9,28.4,0.808,0.4,0.557,25.8,4.2,2.2,1.4,0.4,1.8,7.1,114.8,106.3
Reggie Bullock,5,32.5,12.3,0.8,0.345,0.513,8.8,3.4,1.2,0.6,0.2,0.8,4.1,109.9,107.6
Alec Burks,5,25.6,23.7,0.737,0.333,0.5,14,5,2.6,0.2,0,0.8,8.9,116.9,103.8
Kentavious Caldwell-Pope,5,29.1,10.2,1,0.211,0.448,6.2,2.8,1,1,0,0.4,3.6,106.6,100.9
Vlatko Cancar,5,4.2,13,0.8,1,1.167,2.2,0.6,0.2,0.2,0.2,0.2,6.1,172.1,116.3
Anthony Davis,5,28.8,26.8,0.833,0.182,0.419,17.4,6.6,2.6,0.6,1.6,1.2,9.3,116.4,103.6
Andre Drummond,5,21,20.2,0.7,0,0.594,9,11,0,0.8,0.6,2.2,0,107.9,92.9
Evan Fournier,5,33.3,18.6,0.833,0.433,0.532,15.4,3.6,1.4,1.2,0,1,5.1,115.2,105.7
Daniel Gafford,5,23.4,14.1,0.625,0,0.846,11.8,5.8,0.6,1,2,0.6,5.9,158.2,101.1
Marc Gasol,5,17.5,9.6,0.75,0.636,0.885,5.2,3.8,3,0.8,0.8,0.8,8.9,155.4,89.2
Taj Gibson,5,27.6,7.5,1,0,0.6,5,7,0.8,1.6,1,0.6,4.4,135.2,99.9
Rui Hachimura,5,34.6,13.8,0.583,0.6,0.713,14.8,7.2,1,0.4,0.2,1,5.5,129.8,106.1
Rondae Hollis-Jefferson,5,7.1,8,0.667,0,0.8,2,1.6,0,0.2,0.2,0,0,173.2,104.4
De'Andre Hunter,5,30.3,17.2,0.75,0.375,0.467,10.8,4,0.6,0.2,0.6,1.4,3.9,98,110.1
Jaren Jackson Jr.,5,27.5,20,0.875,0.286,0.5,13.6,5.6,1,1,1.2,0.8,6.2,116.9,99.1
Alize Johnson,5,4.5,20,0,0,0.571,1.6,2.6,0,0.6,0,0.6,0,90.4,97
Tyus Jones,5,9.3,16.2,1,0.25,0.382,3,1.4,1.2,0.2,0,0,7.4,107.3,114.9
Enes Kanter,5,11.2,9.5,1,0,0.5,2,2.6,0,0,0.4,0.6,0,108.7,104.4
Alex Len,5,8.4,17.9,0.571,0,0.571,4,2.2,0.4,0.2,0,0.2,7.2,124.2,96.8
Robin Lopez,5,14.6,15.9,0.25,0,0.72,7.4,1.8,0,0,0.8,0.2,0,131.8,110.3
De'Anthony Melton,5,16.7,18.3,0.6,0.3,0.452,6.2,3.2,1,0.2,0.8,0.6,6.5,99.7,108.1
Ja Morant,5,40.5,30.8,0.775,0.323,0.531,30.2,4.8,8.2,0.4,0,3.4,10.5,116.5,114.3
Aaron Nesmith,5,15,11.8,1,0.286,0.389,3.2,2.6,0.2,0.2,0.2,0.4,3.2,89.9,108.2
Raul Neto,5,22.5,13.8,0.8,0.267,0.412,6.4,2.2,1,0.4,0,0.2,4.3,100,109.1
