# Tm,Pos,Player,Tm,Pts Won,-9999
1st,G,Marcus Smart,BOS,198,smartma01
1st,G,Mikal Bridges,PHO,193,bridgmi01
1st,C,Rudy Gobert,UTA,171,goberru01
1st,F,Giannis Antetokounmpo,MIL,156,antetgi01
1st,F,Jaren Jackson Jr.,MEM,153,jacksja02
2nd,F,Bam Adebayo,MIA,152,adebaba01
2nd,G,Jrue Holiday,MIL,89,holidjr01
2nd,G,Matisse Thybulle,PHI,87,thybuma01
2nd,C,Robert Williams,BOS,70,williro04
2nd,F,Draymond Green,GSW,34,greendr01
