Rank,Player,Team,First,Pts Won
1,Joel Embiid,PHI,73,915
2,Nikola Jokić,DEN,15,674
3,Giannis Antetokounmpo,MIL,12,606
4,Jayson Tatum,BOS,0,280
5,Shai Gilgeous-Alexander,OKC,0,46
6,Donovan Mitchell,CLE,0,30
7,Domantas Sabonis,SAC,0,27
8,Luka Dončić,DAL,0,10
9,Stephen Curry,GSW,0,5
10,Jimmy Butler,MIA,0,3
