Player,PER,TS%,TRB%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Kyrie Irving,21.4,0.592,6.3,29.4,2.4,0.9,3.3,4.2,-1.2,3,1.4
Wes Iwundu,7.1,0.557,8.7,11.1,0.1,0,0.1,-4.1,-2.7,-6.8,-0.1
Frank Jackson,10.6,0.53,4,20.9,0.3,0.4,0.7,-1.8,-1.7,-3.5,-0.4
Isaiah Jackson,20.5,0.607,15.4,22.5,0.7,0.7,1.4,-1.6,0.1,-1.5,0.1
Jaren Jackson Jr.,17,0.535,11.2,25.4,1.7,3.7,5.4,-0.9,0.8,-0.1,1
Josh Jackson,9.5,0.491,9.2,19.7,-0.7,0.7,0,-4.1,-0.4,-4.5,-0.5
Justin Jackson,7.7,0.472,10.1,19.7,0,0,0,-2.2,-1.1,-3.3,0
Reggie Jackson,12.1,0.488,6.1,27.6,-1.7,2,0.4,-1.4,-1.6,-3,-0.6
LeBron James,26.2,0.619,11.8,32.3,5.2,2.3,7.5,6.9,0.8,7.7,5.1
DeJon Jarreau,0,,0,0,0,0,0,-6.5,-1.5,-8,0
DaQuan Jeffries,8.4,0.5,11.6,9.1,0,0,0,-5.8,0.9,-4.9,0
Ty Jerome,11.3,0.488,5,20.8,0,0.5,0.5,-2.2,-0.2,-2.3,-0.1
Isaiah Joe,7.7,0.519,5.1,15.5,0,0.4,0.4,-3.1,-1.5,-4.6,-0.4
Alize Johnson,10.7,0.463,20.4,14.8,0,0.1,0.1,-3.6,-1.8,-5.5,-0.1
B.J. Johnson,12.1,0.52,12.2,16.7,0.1,0,0.1,-0.7,-3.9,-4.7,0
Cameron Johnson,15.2,0.625,8.5,17.5,3.2,2.4,5.6,2,0.7,2.7,2.1
David Johnson,-20,0,0,21.4,0,0,0,-19,-8.7,-27.7,0
Jalen Johnson,11.3,0.59,11.9,19.3,-0.1,0.1,0,-3.9,-1.1,-4.9,-0.1
James Johnson,10.3,0.513,9.8,13.7,0.6,1.1,1.7,-2.7,0.6,-2.2,-0.1
Joe Johnson,38.7,1,0,22,0,0,0,12.1,2.8,15,0
Keldon Johnson,15.2,0.574,10,21.3,2.9,2,4.9,0.7,-1.2,-0.5,0.9
Keon Johnson,8.7,0.453,6.3,21.2,-0.8,0.4,-0.5,-4,-2,-5.9,-0.7
Stanley Johnson,10.5,0.564,7.6,12.5,0.9,0.9,1.8,-2.8,0.1,-2.7,-0.2
Tyler Johnson,7.1,0.425,7.1,10.5,0,0.1,0.1,-3.9,0.8,-3,0
Nikola Jokić,32.8,0.661,23,31.9,10.8,4.5,15.2,9.2,4.5,13.7,9.8
Carlik Jones,-1.8,0.202,7.3,25.1,-0.2,0,-0.1,-11.3,-4.2,-15.5,-0.1
Damian Jones,18.3,0.701,13.2,16.2,2.4,0.9,3.3,-0.2,0.5,0.3,0.6
Derrick Jones Jr.,13,0.633,10.6,12.5,1.4,0.8,2.2,-1.5,0.5,-0.9,0.2
Herbert Jones,12.3,0.573,7,13.7,2.1,2.5,4.6,-2,1.5,-0.5,0.9
Jemerrio Jones,14.8,0.667,10.8,8.6,0,0,0.1,-1.1,0.1,-1,0
Kai Jones,9.2,0.628,9.2,15.9,0,0,0,-5.2,-1.4,-6.6,-0.1
Mason Jones,17.8,0.625,10.5,19,0.2,0,0.2,-1.2,0.3,-0.9,0
Tre Jones,15,0.545,7.1,15.6,1.9,0.9,2.9,-0.9,0.4,-0.5,0.4
Tyus Jones,16.5,0.544,5.9,16.6,3.4,1.6,5.1,1.2,0.5,1.7,1.4
DeAndre Jordan,17.2,0.641,23.1,13.9,0.9,1,1.9,-1.5,0.1,-1.4,0.1
Cory Joseph,11.4,0.579,5.9,14.3,1.7,0.8,2.5,-2,-0.1,-2.1,0
Georgios Kalaitzakis,8.6,0.536,5.1,20.2,-0.3,0.2,-0.1,-5.1,-1.9,-7,-0.3
Frank Kaminsky,21.3,0.635,12.1,19,0.5,0.3,0.9,2.4,2.5,4.9,0.3
Luke Kennard,13.3,0.619,6.3,16.8,2.8,1.7,4.5,0.8,-0.3,0.5,1.2
Braxton Key,13.7,0.508,13.7,19.4,-0.1,0.3,0.2,-3.8,0.6,-3.3,-0.1
George King,-12.3,0.085,14.6,16.3,-0.1,0,-0.1,-16.5,-3.5,-20.1,-0.1
Louis King,8.1,0.438,6.3,21.2,0,0,0,-3,-1.6,-4.6,-0.1
Corey Kispert,10.9,0.586,6.4,14.6,1.6,0.7,2.3,-0.8,-1.5,-2.3,-0.1
Maxi Kleber,11,0.537,13.4,13.3,0.7,2.3,3,-1.6,1.2,-0.4,0.6
Brandon Knight,13,0.561,6.8,22.5,0.1,0.1,0.1,-2.7,-1.9,-4.6,0
Nathan Knight,18.7,0.603,17.1,20.7,0.6,0.3,1,-0.7,0.1,-0.6,0.1
Kevin Knox,10.9,0.491,10.7,20,0.1,0.2,0.2,-1.9,-2.2,-4.1,-0.1
John Konchar,14,0.615,13.3,9.9,2.4,1.8,4.2,0.2,1.3,1.5,1.2
Furkan Korkmaz,10.2,0.502,6.9,17.6,0.1,1.1,1.2,-2,-1.1,-3.1,-0.4
Luke Kornet,16.6,0.506,15.2,12.7,0.2,0.2,0.4,-0.9,0.4,-0.5,0
Vit Krejci,8.5,0.529,7.5,12.9,0.1,0.5,0.6,-4.3,-1,-5.3,-0.6
Arnoldas Kulboka,-10.7,0,0,8.5,0,0,0,-14.7,-7.1,-21.8,0
Jonathan Kuminga,15.2,0.6,10.8,22.7,1.3,1.8,3,-1.3,-0.2,-1.5,0.1
Kyle Kuzma,15.2,0.547,14.1,24.2,0,2,2,0.2,-0.4,-0.2,1
Anthony Lamb,-0.5,0,6.6,10.6,0,0,0,-6.2,-1.8,-8,0
Jeremy Lamb,13.3,0.521,9.1,19.7,0.6,0.6,1.2,-0.4,-0.5,-0.8,0.3
Jock Landale,16,0.597,12.3,18.1,1,0.4,1.5,0.7,-1.1,-0.4,0.2
Romeo Langford,9.2,0.52,7.6,12.9,0.3,1,1.3,-2.3,1,-1.4,0.1
Zach LaVine,20,0.605,7.4,28.8,4.5,1.3,5.8,3.9,-1.5,2.4,2.6
Jake Layman,9,0.5,8.4,16.4,-0.1,0.2,0.1,-3.3,-0.6,-3.9,-0.1
Damion Lee,10.9,0.561,8.8,15.8,0.9,1.8,2.7,-2.4,0.4,-2,0
Saben Lee,13.8,0.499,7.8,17.3,0.3,0.7,0.9,-1.9,1.5,-0.4,0.2
Alex Len,13.1,0.577,14.1,17.1,0.4,0.5,0.9,-3.2,0.3,-2.9,-0.1
Caris LeVert,15.1,0.525,6.7,25.4,1.2,1,2.2,0,-1.2,-1.2,0.4
Kira Lewis Jr.,9.8,0.466,6.3,22.3,-0.3,0.2,-0.1,-2.8,-1.2,-4,-0.2
Scottie Lewis,14.6,0.568,0,5.3,0,0,0,0,5.9,6,0
Damian Lillard,18.5,0.55,6.2,29.3,1.7,0.1,1.7,4,-2.7,1.3,0.9
Nassir Little,13.5,0.575,11.9,15.8,1.2,0.6,1.7,-0.9,-0.6,-1.4,0.2
Isaiah Livers,11.1,0.629,8,12.4,0.4,0.3,0.7,-1.3,-0.2,-1.5,0
Kevon Looney,15.7,0.586,18.8,12.2,3.5,3.2,6.8,-0.9,1.7,0.9,1.3
Brook Lopez,16,0.57,9.4,21.9,0.3,0.3,0.7,-0.7,-0.7,-1.3,0.1
Robin Lopez,13.7,0.57,10.9,18.9,0.5,0.3,0.8,-2.4,-1.4,-3.8,-0.3
Didi Louzada,6.4,0.517,7.2,13,0,0,0,-4.1,-3.4,-7.5,-0.2
Kevin Love,19.6,0.594,17.8,25.1,3.2,2.5,5.7,4.4,0.1,4.5,2.7
Kyle Lowry,15,0.6,7.5,18.2,3.7,2.7,6.4,1.1,0.8,2,2.1
Gabriel Lundberg,7.7,0.342,8.5,21.5,-0.1,0.1,0,-5.3,0.5,-4.8,0
Timothé Luwawu-Cabarrot,9.3,0.556,6.6,14.3,0.6,0.3,0.9,-2.3,-1,-3.3,-0.2
Trey Lyles,16.4,0.588,13.4,20.7,2.4,1.2,3.5,0.5,-0.8,-0.3,0.7
Théo Maledon,10.6,0.5,7.4,20.3,-0.5,0.8,0.3,-3.7,-0.7,-4.4,-0.6
Sandro Mamukelashvili,14.7,0.618,10.7,14.6,0.8,0.3,1.1,0.6,-1,-0.3,0.2
Terance Mann,13.4,0.572,9.7,16,3.1,2.4,5.5,-0.8,0.2,-0.6,0.8
Tre Mann,10.2,0.501,6.4,22,-1,1,0.1,-3.3,-1.1,-4.4,-0.8
Boban Marjanović,18.5,0.615,16.9,33.3,-0.1,0.2,0.1,-3.2,-1.2,-4.4,-0.1
Lauri Markkanen,14.7,0.582,10.2,19.5,2.7,2.3,5,0.4,-0.1,0.4,1.1
Naji Marshall,12.3,0.505,10.7,20.8,0,0.7,0.8,-2.7,-0.5,-3.2,-0.2
Caleb Martin,14.8,0.611,9.5,16.3,1.9,2.1,4,0.1,0.9,1.1,1.1
Cody Martin,12.7,0.579,8.1,12.1,2.4,1.5,3.9,-1.2,0.7,-0.5,0.7
Kelan Martin,9.4,0.484,6.8,18.1,-0.1,0.2,0,-2.6,-1,-3.6,-0.2
Kenyon Martin Jr.,14.3,0.603,9.9,16.3,2.3,0.6,2.9,0,-1.2,-1.2,0.4
Garrison Mathews,11,0.602,6.1,14.4,2.2,0.5,2.8,-1.3,-1,-2.3,-0.1
Dakota Mathias,11,0.5,6.5,15.4,0,0,0,-1.4,1.7,0.3,0
Wesley Matthews,6.9,0.536,4.9,10.7,0.6,0.6,1.2,-3,-0.3,-3.3,-0.3
Tyrese Maxey,16.2,0.594,5.1,20.2,5.4,1.9,7.3,1.3,-0.7,0.6,1.8
Skylar Mays,11.7,0.589,6.2,15.5,0.2,0.1,0.3,-1.2,-0.8,-2,0
Miles McBride,6.1,0.393,6.1,13.9,-0.1,0.4,0.2,-5.5,1,-4.5,-0.2
CJ McCollum,18.3,0.553,6.9,27.5,2.6,1,3.6,3.2,-1.3,1.9,2.1
T.J. McConnell,15.1,0.525,7.7,16.2,1,0.4,1.3,-0.4,1.4,0.9,0.5
Jaden McDaniels,10.3,0.553,8.7,15.3,0.7,1.7,2.4,-2.9,-0.1,-2.9,-0.4
Jalen McDaniels,12.7,0.595,10.1,15.3,1,0.7,1.7,-1.9,-0.4,-2.3,-0.1
Doug McDermott,11.4,0.593,4.9,18.3,1.1,0.5,1.6,-0.4,-2.1,-2.5,-0.1
JaVale McGee,22.6,0.651,22.7,22.8,2.4,2.6,4.9,-0.1,0.9,0.8,0.8
Cameron McGriff,12.5,0.47,17.9,14,0.1,0,0.1,-1,-3,-4,0
Rodney McGruder,11.6,0.577,8,14.8,0.7,0.4,1.2,-0.7,-0.7,-1.4,0.1
Alfonzo McKinnie,5.6,0.457,9,15.3,-0.2,0.1,-0.1,-5.6,-3.4,-9,-0.4
JaQuori McLaughlin,-2.9,0,0,8.2,0,0,0,-9.4,-4.2,-13.6,0
Jordan McLaughlin,13.4,0.535,5.6,11.8,1.3,1,2.3,-1.2,1.6,0.4,0.6
Ben McLemore,11.7,0.567,4.4,21.3,0.7,0.2,0.8,-0.7,-2.5,-3.2,-0.4
De'Anthony Melton,15.2,0.529,10.4,21.3,0.9,2.8,3.7,0.3,1.6,1.9,1.6
Sam Merrill,7.5,0.485,6.3,19.6,0,0,0,-2.2,-3.4,-5.6,-0.1
Chimezie Metu,13.4,0.546,14.3,18.5,0.1,1.4,1.5,-1.6,0.1,-1.5,0.2
Khris Middleton,18.1,0.577,8.8,26.7,3.2,2.2,5.3,1.9,-0.3,1.6,1.9
C.J. Miles,-7.8,,0,0,0,0,0,-16.3,0,-16.3,0
Patty Mills,10.4,0.563,3.6,16.4,1.9,0.9,2.8,-0.3,-1.4,-1.7,0.2
Paul Millsap,10.8,0.458,16.6,16.7,0,0.5,0.5,-3.7,0.2,-3.5,-0.1
Davion Mitchell,10.8,0.489,4.4,20.6,-0.5,0.6,0.1,-2.1,-1.7,-3.8,-0.9
Donovan Mitchell,21.6,0.572,6.8,32.9,4.7,2.5,7.2,4.6,-0.3,4.3,3.6
Evan Mobley,16.1,0.549,13.5,20.4,1.5,3.7,5.2,-0.9,1.5,0.6,1.5
Malik Monk,14.4,0.597,6.4,20.1,2.3,1.4,3.6,0.5,-1,-0.5,0.8
Greg Monroe,19.5,0.566,17.7,17.3,0.4,0.3,0.7,-0.3,0.7,0.4,0.1
Moses Moody,10.5,0.573,7.2,15.2,0.6,0.7,1.3,-1.4,-1.1,-2.5,-0.1
Xavier Moon,16.2,0.545,5.4,19,0.2,0.2,0.3,-1.1,1,-0.1,0.1
Matt Mooney,-20,0,0,43.8,-0.1,0,0,-33.9,11.5,-22.3,0
Ja Morant,24.4,0.575,9,33.7,4.6,2.1,6.7,6.2,-0.1,6.1,3.9
Juwan Morgan,8.3,0.833,7,4.1,0.1,0,0.1,-3.3,-3.9,-7.1,0
Jaylen Morris,-11.4,0.129,6.6,23.1,-0.1,0,-0.1,-15.8,-5.7,-21.5,-0.1
Marcus Morris,13.7,0.549,8.1,23.2,0.9,1.5,2.4,-0.3,-1,-1.4,0.3
Markieff Morris,10.9,0.547,8.6,20.6,0,0.3,0.3,-1.5,-0.4,-1.9,0
Monte Morris,14.7,0.583,5.6,17.4,3.9,1.5,5.4,0.8,-0.8,0,1.1
Emmanuel Mudiay,12.3,0.399,0,18.6,0,0,0,-2.7,1.5,-1.2,0
Mychal Mulder,3.7,0.438,5.3,15.8,-0.4,0.1,-0.2,-5.9,-1.8,-7.7,-0.3
Ade Murkey,0,,0,0,0,0,0,-7.4,-2.3,-9.7,0
Trey Murphy III,12.5,0.558,9.4,15.7,1.3,0.6,1.9,0.2,-1.4,-1.2,0.2
Dejounte Murray,22.3,0.533,12.5,27.3,3.9,3.4,7.3,3.7,1.7,5.4,4.4
Mike Muscala,19.7,0.63,11.2,20.9,1.4,0.7,2.1,3.8,1.2,5,1.1
Svi Mykhailiuk,9.6,0.509,7,16.9,0.1,0.7,0.8,-2.7,-0.2,-2.9,-0.2
Abdel Nader,4.9,0.431,10,15,-0.3,0.3,0,-7.1,2.2,-5,-0.1
Larry Nance Jr.,14.4,0.59,13.1,12.8,1.5,0.8,2.3,-0.4,0.3,-0.1,0.5
RJ Nembhard Jr.,8,0.38,6.1,16,0,0,0,-4.4,-1.5,-5.9,-0.1
Aaron Nesmith,7.3,0.507,8.4,17.2,-0.4,0.9,0.4,-4.9,0.7,-4.3,-0.3
Raul Neto,12.4,0.538,5.4,18.4,0.7,0.8,1.5,-2.5,-0.5,-2.9,-0.4
Malik Newman,28.6,0.68,6.9,38.1,0,0,0,6.3,0.1,6.4,0
Georges Niang,10.7,0.594,6.5,16.8,1.5,1.3,2.8,-0.8,-1.1,-1.9,0
Daishen Nix,8.1,0.48,6.9,17.3,-0.3,0.1,-0.2,-5.4,-1,-6.4,-0.3
Zeke Nnaji,13.5,0.629,11.8,14.9,1.2,0.6,1.8,-0.7,-1.6,-2.2,0
Nerlens Noel,11.8,0.581,13.5,7.3,0.4,1,1.5,-3.1,3.3,0.3,0.3
Jaylen Nowell,16.8,0.581,6.8,21,2.1,0.7,2.8,1.5,-0.7,0.8,0.7
Frank Ntilikina,10.4,0.513,6.4,17.4,0.1,0.9,0.9,-2.8,0.9,-1.9,0
Jusuf Nurkić,20,0.586,21.5,23.6,2,1.7,3.6,0.1,0.2,0.3,0.9
David Nwaba,15.3,0.567,13.6,15.8,0.8,0.5,1.3,-0.6,0,-0.6,0.2
Jordan Nwora,9.9,0.506,9.9,19.4,-0.4,1.1,0.6,-2.7,-1.5,-4.1,-0.6
Royce O'Neale,10.3,0.608,8.4,9.9,2.7,2.8,5.5,-0.8,1.7,0.8,1.7
Semi Ojeleye,6.7,0.438,9.7,12.8,-0.1,0.3,0.2,-4.1,-1.6,-5.7,-0.4
Chuma Okeke,12,0.501,10.5,16.4,-0.3,2.5,2.2,-1.6,1.5,-0.1,0.8
Josh Okogie,9,0.526,7.3,12.1,0.1,0.5,0.7,-3.7,0.9,-2.7,-0.1
Onyeka Okongwu,19.8,0.714,15.6,14,3.1,1.1,4.2,0,0.8,0.8,0.7
Isaac Okoro,10.4,0.589,5.6,12.4,2.4,1.9,4.2,-2.4,0.7,-1.7,0.1
KZ Okpala,10.4,0.521,9.5,14.4,0.2,0.3,0.5,-3.2,0.4,-2.8,-0.1
Victor Oladipo,16.8,0.608,7.5,25.1,0.2,0.2,0.4,1.8,-0.5,1.3,0.1
Cameron Oliver,21.4,0.705,7.6,16.6,0.2,0,0.2,2.3,-0.5,1.7,0
Kelly Olynyk,16.7,0.561,12.5,21.5,0.8,0.8,1.6,0.5,1,1.6,0.7
Eugene Omoruyi,17,0.518,21.6,16.9,0.1,0,0.1,3.3,0.7,4,0
Miye Oni,0.4,0.265,8.7,10.3,-0.1,0,0,-7.6,-0.3,-7.9,-0.1
Cedi Osman,13.3,0.563,5.5,21.1,1.3,1.6,2.9,-0.3,0.5,0.2,0.8
Daniel Oturu,13.4,0.549,10,13,0,0,0.1,-2.7,-2.5,-5.2,0
Kelly Oubre Jr.,14.9,0.56,8,23,1.8,1.4,3.3,0.2,-1.6,-1.4,0.3
Jaysean Paige,-22.2,0,7.7,24.5,-0.1,0,-0.1,-25,-6.5,-31.5,0
Trayvon Palmer,-5.7,0,6.4,5,-0.1,0,0,-13.1,-1.8,-15,-0.1
Kevin Pangos,6.5,0.408,3.7,14.6,-0.1,0.1,0.1,-4.7,-1.4,-6.1,-0.2
Jabari Parker,14.8,0.632,13.5,19.6,0.1,0.2,0.3,-0.4,1.1,0.7,0.1
Eric Paschall,13.9,0.612,7.9,17.7,1.4,0.5,2,0.5,-1,-0.5,0.3
Chris Paul,20.8,0.581,7.1,19.7,5.8,3.6,9.4,3.1,2.3,5.4,4
Cameron Payne,13.8,0.5,7.3,24.6,0.2,1.8,1.9,-0.4,0.4,0,0.7
Elfrid Payton,7.9,0.397,8.6,18.5,-1,0.8,-0.2,-4.6,1.2,-3.5,-0.2
Gary Payton II,17.8,0.679,10.8,14.3,2.5,2.6,5.2,0.3,3.4,3.7,1.8
Norvel Pelle,12.2,0.6,17.3,16,0,0,0,-3,-4.1,-7.1,0
Reggie Perry,15.6,0.537,13.8,22.4,0.1,0.2,0.2,-3.1,-1,-4.1,-0.1
Jamorko Pickett,7.6,0.491,9.8,13.6,0,0.1,0.1,-2.8,-2.1,-5,-0.1
Theo Pinson,11.9,0.553,7.9,14.7,0.2,0.2,0.4,-1.5,1,-0.5,0.1
Mason Plumlee,14.7,0.603,16.7,11.7,2.7,2,4.7,-1.5,1.5,0,0.9
Jakob Poeltl,20.8,0.613,16.9,18.3,4.4,2.5,6.9,0.9,0.7,1.6,1.7
Aleksej Pokusevski,12,0.485,13.3,20,-1.1,1.5,0.4,-2.7,0.1,-2.6,-0.2
Yves Pons,5.9,0.385,8.8,10.3,0,0.1,0,-4.9,-1.7,-6.6,-0.1
Jordan Poole,16.1,0.598,6.2,26,3.1,2.9,6,1.3,-0.3,1,1.7
Kevin Porter Jr.,13.5,0.531,7.7,24.1,0,0.8,0.8,-0.1,-1.6,-1.6,0.2
Michael Porter Jr.,7.5,0.416,12.4,19.7,-0.5,0.3,-0.2,-3.9,0.5,-3.5,-0.1
Otto Porter Jr.,15.9,0.581,14.2,15,2.2,2.7,4.9,1,2.1,3.1,1.8
Bobby Portis,17.7,0.571,17.2,21.3,2.9,2.6,5.5,1.2,-1,0.2,1.1
Kristaps Porziņģis,23.7,0.577,15.4,29.5,3.2,2.4,5.6,3.3,0.6,3.9,2.2
Micah Potter,13.6,0.505,15.7,17.8,0,0,0,-4,-3,-7.1,0
Dwight Powell,18.1,0.725,12.5,14,6,2.2,8.2,0.4,0.5,0.9,1.3
Myles Powell,0.2,0.364,6.4,18,-0.2,0,-0.1,-10.5,-2.2,-12.7,-0.1
Norman Powell,16.3,0.603,5.4,23.1,2.4,0.4,2.8,1.2,-1.5,-0.3,0.6
Joshua Primo,7.1,0.487,6.1,15.4,-0.6,0.6,0,-3.8,-1.1,-5,-0.7
Taurean Prince,12.4,0.589,7.9,17,1,1.2,2.2,-1,0,-0.9,0.3
Payton Pritchard,15,0.578,7.2,18.6,1.8,1.2,3.1,1.7,0.1,1.8,1
Trevelin Queen,18.2,0.619,11.9,23.9,0.1,0.1,0.1,2.7,-0.8,1.9,0.1
Neemias Queta,12.7,0.495,14.1,18.4,0,0.1,0.1,-4.1,-1,-5.1,-0.1
Immanuel Quickley,14.6,0.543,7.4,22.2,2.5,1.8,4.2,0.2,0,0.2,1
Jahmi'us Ramsey,7.9,0.468,5.3,22.2,-0.1,0,-0.1,-3.5,-3.4,-6.9,-0.2
Julius Randle,15.7,0.509,15.1,28.7,-0.3,3.4,3.1,0.4,0.2,0.5,1.6
Austin Reaves,11.5,0.6,7.3,12.4,2.1,0.8,2.9,-1.3,-0.6,-1.9,0
Davon Reed,12.2,0.624,9,12.1,0.9,0.7,1.6,-0.6,0.3,-0.3,0.3
Paul Reed,21.4,0.568,17,16.7,0.6,0.7,1.3,-0.8,2.9,2.1,0.3
Naz Reid,17.2,0.588,13.3,21.4,1.5,1.6,3.2,-0.5,0.5,0,0.6
Nick Richards,15.9,0.689,12.4,15.4,0.6,0.3,1,-2.6,-0.2,-2.8,-0.1
Josh Richardson,12.8,0.573,6.2,17.6,1.6,2,3.5,-0.6,0.7,0.1,0.9
Austin Rivers,7.2,0.546,4.3,12.6,0.1,1.1,1.2,-3.5,-0.3,-3.8,-0.7
Duncan Robinson,10.6,0.573,5.6,17.7,1.9,2,3.9,-0.3,-0.3,-0.6,0.7
Justin Robinson,3.6,0.404,3.7,16,-0.5,0.2,-0.3,-6.4,-1.3,-7.6,-0.4
Mitchell Robinson,20.7,0.722,17.9,11.4,5.3,3.2,8.5,1,1.2,2.2,2
Jeremiah Robinson-Earl,11.7,0.526,13,15.4,0.4,1,1.5,-1.9,-0.4,-2.2,-0.1
Isaiah Roby,18.3,0.607,11.8,19,1.8,1.1,2.9,0.4,0.2,0.6,0.6
Rajon Rondo,10.9,0.496,8.5,16,-0.1,0.8,0.7,-2.4,0.7,-1.7,0.1
Derrick Rose,16.9,0.541,6.6,22.5,0.8,0.7,1.4,2.3,0,2.3,0.7
Terrence Ross,10,0.515,5.9,20.5,-0.5,0.9,0.3,-2.5,-1.1,-3.7,-0.6
Terry Rozier,17.6,0.566,6.8,23.2,4.3,1.6,5.9,2.4,-0.7,1.7,2.3
Ricky Rubio,14,0.488,8,24.9,-0.1,1.4,1.3,-1,1.2,0.2,0.5
D'Angelo Russell,16.3,0.544,5.6,25.1,2.9,1.5,4.4,2.2,-1.5,0.8,1.4
Matt Ryan,3.5,0.3,0,44,0,0,0,-9.9,-3.8,-13.7,0
Domantas Sabonis,21.9,0.637,19.5,22.3,5.3,1.8,7.1,3.2,0.9,4.1,3.2
Olivier Sarr,14,0.672,11.4,13.9,0.7,0.3,1,-2.7,-1.3,-4,-0.2
Tomáš Satoranský,10.2,0.461,7.7,12.6,0.5,0.6,1,-3.3,-0.3,-3.7,-0.4
Jordan Schakel,-1.2,0.21,14.8,19.1,-0.2,0,-0.1,-8.6,-4.3,-13,-0.1
Admiral Schofield,7.5,0.538,10,14.5,-0.1,0.3,0.3,-4.2,-1.2,-5.4,-0.4
Dennis Schröder,13,0.539,6.3,22.6,1,1.9,2.9,-1.5,-0.4,-1.9,0
Tre Scott,20.4,0.5,10.1,24.1,0,0,0,-4.8,1.8,-3,0
Jay Scrubb,9.3,0.486,7,20.8,-0.1,0.1,0,-4.4,-0.4,-4.8,-0.1
Wayne Selden,4.3,0.434,2.8,13.3,0,0,0,-4.3,-1.6,-5.9,0
Alperen Şengün,16,0.552,14.5,22,0.8,1.3,2.1,-1.6,0.6,-1,0.4
Collin Sexton,11.2,0.523,6.3,27.9,-0.4,0.3,-0.1,-3.5,-0.7,-4.1,-0.2
Landry Shamet,10.2,0.55,4.7,16.8,1.1,1.5,2.6,-0.9,-0.4,-1.2,0.3
Day'Ron Sharpe,20.7,0.593,22.3,21.7,0.8,0.5,1.2,-0.3,-2.5,-2.8,-0.1
Pascal Siakam,20.3,0.565,12.2,25.8,4.9,3.2,8.1,2.7,0.8,3.5,3.6
Chris Silva,11.6,0.641,22.4,13.8,0.1,0.1,0.3,-5,0.1,-4.9,-0.1
Marko Simonovic,10.2,0.428,16.1,27.5,0,0,0,-6.1,-5,-11.1,-0.1
Anfernee Simons,15.3,0.583,4.9,24.8,2,-0.1,1.9,1.9,-2.7,-0.7,0.5
Zavier Simpson,7.7,0.406,6.2,15.9,-0.2,0.1,-0.1,-6,-1.9,-7.9,-0.3
Jericho Sims,11.6,0.674,16.4,6.9,0.7,0.8,1.5,-2.8,1.1,-1.7,0
Deividas Sirvydis,0.1,0.15,12,15.9,-0.1,0.1,-0.1,-10.8,2.2,-8.7,0
Javonte Smart,5.1,0.407,6.5,15.9,-0.3,0.2,-0.2,-5.9,-0.8,-6.6,-0.2
Marcus Smart,13.6,0.54,6.4,18.3,1.9,3.7,5.6,-1.2,1.7,0.5,1.5
Dennis Smith Jr.,13.2,0.474,7.6,18.2,-0.1,0.5,0.4,-2.8,1.2,-1.7,0.1
