Player,PER,TS%,TRB%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Miles Bridges,17.9,0.593,10.4,22.6,5,2.3,7.2,1.8,-0.3,1.5,2.5
Oshae Brissett,12.9,0.53,12.8,17.3,1.4,0.9,2.2,-0.5,-1.7,-2.2,-0.1
Malcolm Brogdon,18,0.557,8.6,24.6,2.2,0.4,2.7,2.8,-0.5,2.3,1.3
Armoni Brooks,8.4,0.483,6.7,16.4,-0.1,0.4,0.2,-2.6,-1.3,-3.9,-0.4
Dillon Brooks,15.5,0.515,6,28.8,0.7,0.9,1.6,-1,-0.8,-1.8,0
Bruce Brown,15,0.575,10.6,15,2.8,2,4.8,-0.4,1.1,0.7,1.2
Charlie Brown Jr.,6.5,0.346,10.1,12.3,-0.2,0.2,0,-5.2,0.4,-4.8,-0.1
Chaundee Brown Jr.,6.4,0.447,8.4,14.9,0,0,0,-4.3,-2.4,-6.6,-0.1
Greg Brown III,11,0.515,11.6,17.2,-0.1,0.5,0.4,-4,-0.7,-4.7,-0.4
Jaylen Brown,18.9,0.574,9.8,30.5,2.3,3.4,5.8,1.9,0.1,2.1,2.2
Moses Brown,18.5,0.612,21.7,20.7,0.5,0.7,1.2,-2.4,-0.9,-3.3,-0.1
Sterling Brown,8.4,0.495,13.2,13.2,-0.1,0.9,0.8,-3.4,0.5,-2.9,-0.1
Troy Brown Jr.,10.1,0.525,10.8,12.3,0.5,0.9,1.4,-1.7,-0.2,-1.8,0.1
Jalen Brunson,17.1,0.583,6.8,21.9,4.9,2.7,7.5,0.9,0,0.9,1.9
Thomas Bryant,16.6,0.607,13.6,18.7,0.7,0.4,1.1,-0.4,-0.7,-1,0.1
Shaq Buchanan,0.6,0.25,10.5,24.6,-0.1,0,0,-11,0.3,-10.7,0
Reggie Bullock,9.2,0.558,7,13.3,1.2,2,3.2,-1.5,0,-1.4,0.3
Trey Burke,10,0.475,4.2,25.6,-0.4,0.4,0,-3.6,-1.4,-5,-0.3
Alec Burks,13.7,0.559,9.2,17.7,3.2,2.9,6.1,-0.4,1.2,0.8,1.7
Jared Butler,12.1,0.509,6.8,23.1,0,0.5,0.4,-2.3,0.7,-1.6,0
Jimmy Butler,23.6,0.592,9.9,26.5,6.2,2.9,9.2,4.5,1.9,6.3,4
