Team,ORtg,DRtg,NRtg
Utah Jazz,118.42,108.94,9.48
Los Angeles Clippers,118.39,112.13,6.26
Phoenix Suns,118.01,112.14,5.87
Milwaukee Bucks,117.68,112.03,5.65
Philadelphia 76ers,114.13,108.51,5.62
Denver Nuggets,118.04,113.01,5.03
Brooklyn Nets,118.91,114.4,4.52
Los Angeles Lakers,110.52,107.84,2.68
Dallas Mavericks,116.16,113.79,2.37
New York Knicks,111.38,108.97,2.41
Atlanta Hawks,116.28,113.89,2.38
Portland Trail Blazers,118.28,116.58,1.7
Boston Celtics,114.66,113.29,1.37
Golden State Warriors,111.74,110.65,1.09
Memphis Grizzlies,112.77,111.77,1
Miami Heat,112.12,111.98,0.13
Indiana Pacers,112.98,112.96,0.02
New Orleans Pelicans,114.47,114.78,-0.32
Toronto Raptors,112.96,113.44,-0.48
Chicago Bulls,111.9,112.81,-0.91
San Antonio Spurs,111.61,113.35,-1.74
Washington Wizards,111.75,113.63,-1.88
Charlotte Hornets,111.62,113.69,-2.07
Sacramento Kings,114.4,118,-3.6
Detroit Pistons,108.9,113.53,-4.63
Minnesota Timberwolves,110.18,115.55,-5.36
Houston Rockets,107.85,115.69,-7.84
Cleveland Cavaliers,106.85,115.65,-8.8
Orlando Magic,105.74,115.22,-9.48
Oklahoma City Thunder,104.32,114.8,-10.48
