Player,PER,TS%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Steven Adams,20.5,0.604,17.3,3.8,2.7,6.5,1.9,1.1,2.9,2.1
Bam Adebayo,20.3,0.598,21.2,4.6,3.9,8.5,1.4,2,3.4,3.3
LaMarcus Aldridge,19.7,0.571,23.4,3,1.4,4.5,1.8,-0.5,1.4,1.5
Kyle Alexander,4.7,0.5,10.2,0,0,0,-6.4,-3.7,-10.1,0
Nickeil Alexander-Walker,8.9,0.473,23.3,-0.7,0.4,-0.2,-3.2,-1.4,-4.6,-0.4
Grayson Allen,12,0.609,17.6,0.8,0.4,1.2,-0.1,-1.2,-1.3,0.1
Jarrett Allen,20.7,0.664,14.9,5.2,2.9,8.2,1.4,1,2.3,2
Kadeem Allen,14,0.512,20.6,0.1,0.1,0.1,-0.3,-0.7,-0.9,0
Al-Farouq Aminu,7.6,0.395,13.2,-0.4,0.5,0.1,-4.4,1.4,-3,-0.1
Justin Anderson,3.2,0.352,17.1,-0.2,0.1,-0.1,-6.8,-1,-7.7,-0.2
Kyle Anderson,12.5,0.534,13.5,0.9,1.7,2.5,-1.5,2,0.5,0.9
Ryan Anderson,9.4,0.357,23.7,0,0,0,-3.3,0.5,-2.8,0
Giannis Antetokounmpo,31.9,0.613,37.5,6.1,5,11.1,7.4,4.1,11.5,6.6
Kostas Antetokounmpo,16.3,0.902,10.3,0.1,0,0.1,0.2,-0.9,-0.7,0
Thanasis Antetokounmpo,12.2,0.496,21.6,-0.1,0.2,0.2,-4.6,1.4,-3.2,0
Carmelo Anthony,12.4,0.525,21.2,0.4,0.9,1.3,-1.8,-1.8,-3.6,-0.8
OG Anunoby,13.2,0.6,14.3,2.1,3.7,5.7,-0.8,2,1.2,1.7
Ryan Arcidiacono,9,0.551,12.5,0.7,0.7,1.4,-2.7,-0.1,-2.8,-0.2
Trevor Ariza,11,0.593,11.8,1.3,1.2,2.5,-1.4,0.9,-0.5,0.6
D.J. Augustin,14,0.554,19.1,2,0.9,2.9,-0.3,-1.3,-1.6,0.2
Deandre Ayton,20,0.568,23.7,1.5,1.6,3.1,0.8,-0.4,0.4,0.7
Dwayne Bacon,6.1,0.419,19.5,-1.2,0.4,-0.8,-5.9,-0.9,-6.8,-0.8
Marvin Bagley III,15.6,0.512,25.8,0,0.3,0.4,-2.2,-1.4,-3.5,-0.1
Lonzo Ball,13.1,0.517,18.5,0.4,2,2.4,0.1,0.6,0.6,1.3
