Rank,Player,Tm,First,Pts Won
1,Rudy Gobert,UTA,65,411
2,Giannis Antetokounmpo,MIL,26,280
3,Paul George,OKC,6,150
4,Joel Embiid,PHI,1,26
5,Myles Turner,IND,0,15
6T,Draymond Green,GSW,1,6
6T,Kawhi Leonard,TOR,1,6
8,Marcus Smart,BOS,0,4
9T,Jarrett Allen,BRK,0,1
