Team,ORtg,DRtg,NRtg
,,,
Boston Celtics,118.98,112.28,6.7
Cleveland Cavaliers,117.31,111.69,5.62
Philadelphia 76ers,118.87,114.51,4.35
Memphis Grizzlies,116.01,112.07,3.93
Milwaukee Bucks,116.13,112.64,3.49
New York Knicks,118.86,115.83,3.03
Denver Nuggets,118.38,115.05,3.34
Sacramento Kings,119.97,117.48,2.49
Phoenix Suns,116.05,113.94,2.12
Toronto Raptors,116.37,114.86,1.51
New Orleans Pelicans,115.26,113.38,1.88
Golden State Warriors,117.1,115.34,1.75
Chicago Bulls,114.52,113.16,1.36
Brooklyn Nets,116.07,115.07,1
Oklahoma City Thunder,115.92,114.9,1.03
Los Angeles Lakers,115.31,114.76,0.55
Atlanta Hawks,117.45,117.16,0.29
Los Angeles Clippers,115.91,115.4,0.51
Dallas Mavericks,117.63,117.56,0.06
Minnesota Timberwolves,114.52,114.5,0.02
Miami Heat,113.99,114.4,-0.41
Utah Jazz,116.41,117.44,-1.02
Washington Wizards,115.21,116.49,-1.28
Orlando Magic,112.42,114.99,-2.57
Indiana Pacers,115.65,118.81,-3.16
Portland Trail Blazers,115.72,119.83,-4.11
Charlotte Hornets,109.86,116.14,-6.28
Houston Rockets,112.14,120.16,-8.02
Detroit Pistons,111.35,119.68,-8.33
San Antonio Spurs,111.11,120.96,-9.85
