Player,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Isaac Bonga,4,0.461,10.2,-0.4,0.4,0,-0.001,-5.8,0,-5.8,-0.4
Devin Booker,19.2,0.587,32.7,2.9,2,4.9,0.104,1.7,-1.4,0.3,1.3
Chris Boucher,21.9,0.634,20.5,4,2.1,6.1,0.201,2.7,0.6,3.3,2
Brian Bowen,1,0.338,12.6,0,0,0,-0.063,-8.1,-2.9,-11,0
Avery Bradley,6.3,0.487,14.9,-0.5,0.4,-0.1,-0.008,-4.9,-0.5,-5.4,-0.5
Tony Bradley,20.7,0.678,15.8,1.8,1,2.7,0.192,1.2,0.1,1.3,0.6
Jarrell Brantley,16.6,0.605,19,0.3,0.2,0.5,0.172,0.6,1.6,2.2,0.1
Ignas Brazdeikis,9.5,0.51,17.6,-0.1,0.1,0.1,0.016,-3.2,-2.1,-5.3,-0.2
Mikal Bridges,16.4,0.667,14.9,5.4,2.6,8,0.164,2.4,0.9,3.3,3.1
Miles Bridges,14.7,0.625,17.3,2.4,1.9,4.2,0.105,0.2,0.1,0.2,1.1
Amida Brimah,16.6,0.697,19.6,0,0.1,0,0.073,-6.2,1.4,-4.8,0
Oshae Brissett,17.2,0.638,15.6,1.2,0.6,1.8,0.165,1.1,-0.5,0.6,0.3
Malcolm Brogdon,17.9,0.561,25.9,2.9,1.3,4.2,0.105,3,-0.9,2.1,2
Armoni Brooks,10.4,0.565,17.9,0.1,0.2,0.3,0.03,-1.1,-2.1,-3.2,-0.2
Dillon Brooks,12.1,0.515,26.1,-0.5,1.8,1.4,0.033,-2.6,-1.1,-3.7,-0.9
Bruce Brown,16.1,0.604,15.9,2.8,1.5,4.4,0.144,-0.4,0.2,-0.1,0.7
Charlie Brown Jr.,4.1,0.422,14.9,-0.2,0.1,-0.1,-0.032,-7.4,-1.3,-8.7,-0.3
Jaylen Brown,19.9,0.586,29.7,2.8,2,4.8,0.115,3.2,-0.7,2.5,2.3
Moses Brown,18.8,0.572,16.9,1.3,1.3,2.6,0.138,-1.3,-1.2,-2.4,-0.1
Sterling Brown,11.1,0.597,13.5,1,0.8,1.8,0.071,-1.6,0,-1.6,0.1
Troy Brown Jr.,8.5,0.525,14,0,0.5,0.5,0.043,-3.3,-0.6,-4,-0.3
Jalen Brunson,17.1,0.618,20.2,3.9,1.1,5.1,0.143,1.5,-0.6,0.9,1.2
Elijah Bryant,10.6,0.559,24,0,0,0,0.008,-3.9,-3.4,-7.3,0
Thomas Bryant,18.7,0.704,17.2,0.7,0.2,1,0.171,1.4,-0.6,0.9,0.2
Reggie Bullock,11.1,0.606,14.4,2.3,2.3,4.6,0.114,-0.9,0.8,-0.1,0.9
Trey Burke,12.6,0.544,20,0.7,0.7,1.4,0.071,-1.4,-0.4,-1.8,0
Alec Burks,14.8,0.564,21.3,1.5,1.8,3.3,0.126,0.9,0.6,1.5,1.1
Jimmy Butler,26.5,0.607,26.6,6.6,2.7,9.3,0.255,5.4,2.3,7.7,4.3
Bruno Caboclo,9,0.475,25.8,-0.1,0,-0.1,-0.088,-8.5,-1.7,-10.2,-0.1
Devontae Cacok,17.2,0.576,17.2,0.1,0.2,0.3,0.142,-1.5,0.4,-1,0
Kentavious Caldwell-Pope,10.7,0.588,14.2,1.6,2.6,4.2,0.107,-1.6,1,-0.5,0.7
Facundo Campazzo,11.6,0.558,13.1,1.6,1.5,3.1,0.105,-1.7,1.2,-0.6,0.5
Vlatko Čančar,9.7,0.547,14.2,0,0.3,0.3,0.053,-2.6,0,-2.6,0
Devin Cannady,11.2,0.547,19.3,0,0.1,0.1,0.057,-4,1,-3.1,0
Clint Capela,24.3,0.601,19.9,4.9,3.3,8.2,0.207,2.7,0,2.7,2.2
Vernon Carey Jr.,11.7,0.563,17.2,0,0.1,0.2,0.066,-4.4,-1.7,-6.1,-0.1
Jevon Carter,12.2,0.548,15,0.7,0.8,1.6,0.104,-0.4,0.9,0.5,0.5
Wendell Carter Jr.,16.7,0.566,19.3,1.7,1.7,3.4,0.118,-1.1,-0.2,-1.3,0.2
Wendell Carter Jr.,16.3,0.578,19.1,1.1,1,2.1,0.13,-1.4,0.4,-1,0.2
Michael Carter-Williams,9.5,0.449,20.2,-1.1,0.6,-0.5,-0.028,-4.6,-0.2,-4.8,-0.6
Alex Caruso,11.1,0.547,14.8,0.3,2.1,2.4,0.095,-2.5,2.5,0,0.6
Willie Cauley-Stein,14.3,0.647,12,1.6,1.2,2.8,0.147,-2.2,0.9,-1.3,0.2
Chris Chiozza,12.9,0.461,21,0.1,0.2,0.3,0.063,-0.1,-0.6,-0.7,0.1
Marquese Chriss,11.8,0.412,28.1,-0.1,0.1,0,-0.03,-2.4,0.3,-2.1,0
Gary Clark,6,0.436,10.1,-0.3,0.4,0.1,0.008,-4.2,-0.7,-4.9,-0.5
Brandon Clarke,17.3,0.56,17.2,2.2,2,4.2,0.142,0.4,1.2,1.5,1.3
Jordan Clarkson,17.1,0.549,29.7,1.7,2.5,4.2,0.111,1.8,-0.4,1.4,1.6
Nic Claxton,16.9,0.612,14,1,0.9,1.9,0.153,-1,1.4,0.4,0.4
Amir Coffey,10.1,0.585,15.1,0.4,0.3,0.7,0.085,-1.9,-0.1,-2,0
John Collins,20.6,0.645,22.2,4.8,1.9,6.7,0.174,2.5,-0.2,2.3,2
Mike Conley,19.2,0.589,23.1,4,2.1,6.1,0.197,3.6,1.3,4.9,2.6
Pat Connaughton,11.3,0.578,11.6,1.8,1.7,3.5,0.108,-0.5,0.5,0,0.8
Quinn Cook,12.7,0.531,21.8,0.1,0.1,0.2,0.061,-1,-0.2,-1.2,0
DeMarcus Cousins,16.4,0.537,24.5,0,1.2,1.2,0.079,-1.2,1.6,0.4,0.4
Robert Covington,11.2,0.553,11.5,1.4,2.4,3.7,0.08,-1.3,1.5,0.2,1.2
Torrey Craig,14.2,0.579,14.3,1.1,1.1,2.2,0.133,-0.3,0.7,0.4,0.5
Jae Crowder,11.8,0.574,15.7,1.4,1.9,3.3,0.097,0.3,0.8,1.1,1.3
Jarrett Culver,8.8,0.476,18.2,-0.4,0.3,-0.1,-0.006,-4.5,-1.1,-5.6,-0.5
Seth Curry,12.9,0.607,17.1,2.3,1.7,4,0.118,0.1,-0.4,-0.3,0.7
Stephen Curry,26.3,0.655,34.8,6.5,2.5,9,0.201,8.3,0.4,8.7,5.8
Nate Darling,8.2,0.541,15.4,0,0,0,0.038,-1.5,-2.5,-4,0
Anthony Davis,22.1,0.556,29.2,1.3,2.4,3.7,0.152,2.6,2.2,4.8,2
Ed Davis,13.1,0.487,7.9,0.5,0.4,0.8,0.135,-3.3,1.1,-2.2,0
Terence Davis,12.7,0.555,21.8,0.1,0.8,0.8,0.038,-0.9,-0.9,-1.7,0.1
Gabriel Deck,16.1,0.548,16.6,0.4,0.1,0.5,0.12,0,-0.4,-0.4,0.1
Dewayne Dedmon,24.5,0.735,19.3,0.7,0.4,1.1,0.256,1.2,0.5,1.7,0.2
Matthew Dellavedova,7.3,0.312,12.4,-0.1,0.1,0,0.005,-4.5,-1.9,-6.4,-0.3
DeMar DeRozan,22,0.591,26.1,5.9,1.5,7.4,0.172,3.2,-0.1,3.1,2.6
Mamadi Diakite,12.3,0.477,14.6,0.1,0.2,0.3,0.102,-3.3,0.9,-2.4,0
Hamidou Diallo,14.3,0.541,22.2,0.3,1.3,1.6,0.063,-2.2,0.1,-2.1,0
Gorgui Dieng,19.2,0.67,17.4,1.3,0.8,2.1,0.185,1.8,1.5,3.4,0.7
Spencer Dinwiddie,10.1,0.536,16.1,0,0.1,0.1,0.045,-2.4,2.6,0.2,0
Donte DiVincenzo,13,0.542,16.7,1.5,2.1,3.6,0.095,-0.2,0.4,0.3,1
Luka Dončić,25.3,0.587,36,5.1,2.6,7.7,0.163,6.1,0.7,6.8,5.1
Luguentz Dort,10.1,0.513,21.7,-0.6,1,0.3,0.011,-2.6,-0.9,-3.5,-0.6
Damyean Dotson,8.1,0.499,16.9,-0.4,0.3,0,-0.002,-3.4,-1.4,-4.8,-0.6
Devon Dotson,19.3,0.548,18.2,0.1,0.1,0.2,0.177,-0.1,2.2,2.1,0.1
Sekou Doumbouya,6.9,0.459,17.8,-0.9,0.7,-0.2,-0.012,-5.4,-1.3,-6.7,-1
PJ Dozier,10.4,0.501,17.2,0.1,1.1,1.1,0.051,-2.3,-0.4,-2.6,-0.2
Goran Dragić,13,0.552,24.5,0.2,1.2,1.3,0.048,-1.1,-1.3,-2.3,-0.1
Andre Drummond,19.4,0.519,27.6,-0.6,2.5,2,0.077,-1.7,0.5,-1.2,0.3
Jared Dudley,4.4,0.333,5.9,0,0.1,0.1,0.053,-4.4,0.9,-3.5,0
Kris Dunn,-5.7,0.182,16.2,-0.2,0.1,-0.2,-0.202,-13.7,-0.1,-13.7,-0.1
Kevin Durant,26.4,0.666,31.2,3.7,1.2,5,0.206,6.4,0.8,7.2,2.7
Anthony Edwards,13.9,0.523,27,-0.6,1.4,0.8,0.017,-0.4,-1.7,-2.1,-0.1
Carsen Edwards,10.2,0.527,19.3,0.1,0.2,0.3,0.051,-3.2,-1.3,-4.5,-0.2
CJ Elleby,9.4,0.468,17.4,0,0.1,0.1,0.032,-4,-0.9,-4.9,-0.1
Henry Ellenson,12.8,0.476,17.9,0.1,0,0.1,0.127,-1.7,-0.1,-1.8,0
Wayne Ellington,12.2,0.625,16.7,1.3,0.5,1.9,0.088,1.1,-1.3,-0.2,0.5
Joel Embiid,30.3,0.636,35.3,5.6,3.2,8.8,0.266,6.3,1.2,7.5,3.8
James Ennis III,12.5,0.613,13.9,1.3,0.7,2,0.097,-1.9,-0.3,-2.2,-0.1
Drew Eubanks,17.9,0.618,17.1,1.2,1.1,2.3,0.145,-1,1,0,0.4
Dante Exum,5.9,0.428,12.7,-0.2,0.1,-0.1,-0.025,-5.4,1.6,-3.8,-0.1
Tacko Fall,19.6,0.66,13.2,0.2,0.3,0.5,0.177,-1.7,2.9,1.2,0.1
Derrick Favors,19.7,0.663,13,2.9,2.2,5.1,0.237,0.3,2.4,2.6,1.2
Cristiano Felício,14.7,0.574,12.4,0.2,0.1,0.3,0.151,-1.1,1.2,0.1,0
Terrance Ferguson,-7.1,0.143,9.7,-0.2,0,-0.2,-0.161,-12.1,-2.2,-14.3,-0.2
Bruno Fernando,6.2,0.475,14.4,-0.3,0.3,-0.1,-0.019,-6.1,-0.4,-6.5,-0.3
Yogi Ferrell,14.4,0.459,20.7,0.1,0.2,0.3,0.099,-0.5,0.8,0.2,0.1
Dorian Finney-Smith,12,0.609,12.2,2.8,1.6,4.4,0.11,0.2,0,0.1,1
Malik Fitts,2.9,0.5,12.1,0,0,0,0.049,-7,-2.1,-9.1,0
Malachi Flynn,10.9,0.484,19,0,0.8,0.8,0.041,-2.5,-0.2,-2.6,-0.1
Bryn Forbes,12.8,0.631,18.5,2,0.7,2.7,0.096,0.4,-1.7,-1.3,0.2
Trent Forrest,11.2,0.554,14.3,0.3,0.4,0.7,0.106,-2.5,1.2,-1.3,0.1
Evan Fournier,16.7,0.598,23.1,1.8,1,2.8,0.107,1.5,-0.4,1.1,1
De'Aaron Fox,20.7,0.565,31,3.4,0.8,4.2,0.098,3.1,-1.3,1.8,2
Robert Franks,16.5,0.638,15.3,0.3,0.1,0.3,0.158,0.7,-0.8,-0.2,0
Tim Frazier,-0.5,0.177,18.1,-0.3,0.1,-0.2,-0.169,-10.7,-1.2,-11.9,-0.2
Enes Freedom,22.4,0.636,17.4,5.7,1.7,7.5,0.204,2.1,-1.4,0.6,1.2
Markelle Fultz,12,0.458,26.2,-0.3,0.1,-0.1,-0.024,-3.6,-0.9,-4.4,-0.1
Wenyen Gabriel,9.8,0.533,14.4,0,0.3,0.3,0.052,-3.2,-0.1,-3.3,-0.1
Daniel Gafford,22.2,0.697,16.7,2.1,1.3,3.5,0.209,0.6,1.6,2.2,0.8
Danilo Gallinari,16.3,0.613,21.2,2.7,1,3.7,0.146,1.7,-0.6,1.1,1
Langston Galloway,12.1,0.605,17.3,0.6,0.3,0.9,0.096,-0.1,-0.8,-0.9,0.1
Darius Garland,14.2,0.547,24.9,0.3,0.9,1.2,0.033,0,-2.1,-2.1,-0.1
Marc Gasol,12.2,0.606,11.8,0.8,1.9,2.8,0.133,-1.4,3.7,2.3,1.1
Rudy Gay,14.7,0.532,23.6,0,1.7,1.7,0.059,-0.1,0,-0.1,0.6
Paul George,20.5,0.598,30,3,2.3,5.3,0.139,3.9,0.3,4.2,2.9
Taj Gibson,16,0.661,9.7,2.1,1.7,3.8,0.195,-0.7,2.1,1.3,0.8
Harry Giles,12.4,0.496,15.9,0.1,0.4,0.5,0.069,-3.2,0.2,-2.9,-0.1
Shai Gilgeous-Alexander,21.6,0.623,27.8,2.7,0.8,3.5,0.143,3.9,0.2,4.1,1.8
Anthony Gill,13.7,0.597,14.2,0.3,0.3,0.6,0.123,-1.6,0.3,-1.3,0
Freddie Gillespie,13.4,0.563,12.2,0.5,0.5,0.9,0.116,-3.1,-0.1,-3.2,-0.1
Rudy Gobert,23.5,0.683,17,6.1,5.2,11.3,0.248,2.1,2.8,4.9,3.8
Brandon Goodwin,9.2,0.471,19.5,-0.2,0.4,0.2,0.013,-2.5,-0.6,-3.1,-0.2
Aaron Gordon,14.5,0.547,20.7,0.7,1.2,1.9,0.066,0.2,-0.1,0.1,0.7
Eric Gordon,14.4,0.577,25.2,0.6,0.2,0.8,0.048,0.7,-1.7,-1.1,0.2
Devonte' Graham,14.6,0.552,21.4,2.5,0.9,3.4,0.099,1.8,-1.1,0.7,1.1
Jerami Grant,16.9,0.556,28.5,1.6,1.6,3.2,0.083,1.9,-0.8,1.1,1.4
Danny Green,12.1,0.582,14,1.6,3.1,4.6,0.115,0.4,1.5,1.9,1.9
Draymond Green,13.3,0.53,13.1,1.2,3.4,4.6,0.112,-1.6,3.3,1.7,1.9
JaMychal Green,13.6,0.59,17.6,1.4,1.2,2.6,0.11,-0.5,-1,-1.5,0.1
Javonte Green,12.1,0.61,12.6,0.5,0.6,1.1,0.107,-2.2,1.7,-0.5,0.2
Jeff Green,13,0.624,15.6,2.9,1.2,4.1,0.107,0,-0.9,-0.8,0.6
Josh Green,8.8,0.49,11.9,0.1,0.4,0.5,0.05,-3.7,0.1,-3.6,-0.2
Blake Griffin,12.9,0.546,19.3,0.9,1.1,2,0.081,-0.8,0,-0.8,0.3
Kyle Guy,8.5,0.449,19.7,-0.1,0.1,-0.1,-0.015,-3.7,-2.1,-5.8,-0.2
Rui Hachimura,11.4,0.549,18.1,0.7,1.4,2.1,0.056,-2.2,-1,-3.1,-0.5
Ashton Hagans,-12.4,,10.5,0,0,0,-0.353,-13.7,-7.4,-21.1,0
Tyrese Haliburton,16.2,0.585,18.1,2.8,0.7,3.5,0.096,1.9,-0.5,1.4,1.5
Donta Hall,22.3,0.731,14,0.6,0.2,0.8,0.223,0.9,0.6,1.6,0.2
Josh Hall,1,0.363,18.1,-1.1,0.2,-0.9,-0.126,-9.7,-2.2,-11.9,-0.8
R.J. Hampton,11.1,0.507,19.6,-0.3,0.7,0.4,0.021,-2.6,-1.2,-3.8,-0.4
Tim Hardaway Jr.,15.7,0.589,23.4,3.2,1.2,4.3,0.105,2,-1.7,0.4,1.2
James Harden,24.5,0.618,28.4,5.3,1.7,7,0.208,6.2,1,7.2,3.7
Maurice Harkless,8.1,0.527,11.5,0.2,0.4,0.6,0.038,-3.8,0.1,-3.7,-0.3
Jared Harper,-10.8,0.26,24.4,-0.1,0,-0.1,-0.365,-16.6,-5.5,-22.1,-0.1
Montrezl Harrell,22.7,0.65,21.7,4.5,2.7,7.3,0.221,2.3,0.7,3,2
Gary Harris,9.1,0.511,16.7,0.2,0.6,0.7,0.033,-2.8,-1.3,-4.2,-0.6
Jalen Harris,15.2,0.632,22.6,0.1,0.1,0.3,0.079,0.5,-0.3,0.3,0.1
Joe Harris,14.1,0.663,16.2,4.1,1.1,5.2,0.117,1.5,-1.2,0.4,1.3
Tobias Harris,20,0.597,23.9,4.1,3.1,7.1,0.17,2.9,0.8,3.7,2.9
Shaquille Harrison,6.8,0.416,12.9,-0.2,0.4,0.2,0.03,-5.5,1.5,-4.1,-0.2
Josh Hart,12.2,0.566,13.5,1.4,1.3,2.7,0.097,-1.1,0.3,-0.8,0.4
Isaiah Hartenstein,17.9,0.583,19.2,0.7,0.9,1.6,0.134,-2.4,1.5,-0.9,0.2
Udonis Haslem,54.6,1,30.1,0,0,0,0.475,24.1,7,31.1,0
Jaxson Hayes,19.1,0.675,16.2,2.6,1,3.5,0.176,0.6,0,0.6,0.6
Killian Hayes,5.3,0.422,19,-1.8,0.6,-1.1,-0.081,-6.3,-0.9,-7.2,-0.9
Gordon Hayward,17.6,0.584,23.9,2.2,1.4,3.5,0.114,1.6,-0.1,1.6,1.4
Juancho Hernangómez,12.1,0.549,17.2,0.6,0.5,1.1,0.06,-1.1,-1.8,-2.9,-0.2
Willy Hernangómez,19.6,0.591,17,1.9,1,2.9,0.163,1,-1,0,0.4
Tyler Herro,13.3,0.543,23.5,0.1,1.6,1.7,0.049,-0.3,-1,-1.3,0.3
Buddy Hield,12.8,0.567,20.7,1.5,0.7,2.2,0.044,1,-1.6,-0.6,0.9
George Hill,13.1,0.596,15.9,0.9,0.6,1.4,0.1,-1,-0.2,-1.2,0.1
Solomon Hill,6.7,0.498,10.4,0.1,1.2,1.3,0.04,-3,0.5,-2.5,-0.2
Nate Hinton,10.4,0.442,24.4,-0.2,0.1,0,-0.015,-4.5,1,-3.4,0
Jaylen Hoard,13.4,0.547,16.3,0.2,0.3,0.5,0.07,-2.2,-0.3,-2.5,0
Aaron Holiday,9.2,0.503,19.5,-0.6,0.8,0.2,0.009,-3.3,-0.9,-4.2,-0.7
Jrue Holiday,20,0.592,22.2,4.3,2.2,6.6,0.165,2.8,0.6,3.4,2.6
Justin Holiday,10.4,0.571,14,1.4,1.8,3.1,0.069,-0.9,-0.1,-1,0.6
Rondae Hollis-Jefferson,14.4,0.539,10.9,0.3,0.1,0.3,0.147,-1.1,1.2,0.1,0.1
Richaun Holmes,20.2,0.669,17.5,4.7,1.4,6.1,0.165,0.6,0,0.6,1.2
Rodney Hood,5.6,0.452,14.1,-0.7,0.3,-0.4,-0.019,-4.9,-1.4,-6.4,-1
Al Horford,17.4,0.538,21.6,0.8,0.9,1.6,0.101,2,1.4,3.4,1.1
Talen Horton-Tucker,12.9,0.536,21.7,-0.1,2.2,2.1,0.078,-2.6,1.5,-1.2,0.3
Danuel House Jr.,9.1,0.525,15.3,0,0.5,0.5,0.026,-2.8,-0.7,-3.5,-0.3
Dwight Howard,17.8,0.61,18.2,1.3,2.6,4,0.159,-2.1,0.6,-1.5,0.1
Markus Howard,6.4,0.477,27.2,-0.4,0.1,-0.3,-0.068,-5.5,-3.2,-8.7,-0.3
Kevin Huerter,12.2,0.541,17.2,1.9,1.7,3.6,0.08,-0.6,0.4,-0.3,1
Elijah Hughes,8.4,0.488,25.4,-0.1,0.1,0,-0.013,-1.4,-1.3,-2.8,0
De'Andre Hunter,15.7,0.603,20.2,1.2,0.6,1.7,0.123,0.6,0.6,1.2,0.5
Chandler Hutchison,6.8,0.469,16.2,-0.5,0.4,-0.1,-0.007,-5.7,0.2,-5.6,-0.3
Serge Ibaka,18.2,0.585,20.1,1.7,1.3,3,0.15,1.2,0.2,1.4,0.8
Andre Iguodala,9.2,0.519,11.2,-0.1,1.8,1.7,0.062,-2.2,1.8,-0.4,0.5
Ersan İlyasova,12.1,0.578,18.7,0.1,0.3,0.4,0.122,-2.5,1.7,-0.9,0
Joe Ingles,15.9,0.672,16.6,4.7,2.3,7,0.18,2.6,0.9,3.5,2.6
Brandon Ingram,19.2,0.584,28,3.9,1.3,5.3,0.12,3.3,-1.1,2.2,2.2
Kyrie Irving,24.4,0.614,30.4,5.8,1.6,7.4,0.189,5.7,-0.2,5.5,3.6
Wes Iwundu,4.3,0.428,10.8,-0.5,0.4,0,-0.003,-6.1,-0.3,-6.3,-0.6
Frank Jackson,13.2,0.598,21.3,0.7,0.4,1.2,0.076,-0.1,-1.6,-1.7,0.1
Jaren Jackson Jr.,18,0.551,25.9,0.2,0.5,0.7,0.123,-0.7,0.7,0.1,0.1
Josh Jackson,12,0.516,26.5,-1.6,1.7,0.1,0.004,-2.5,-0.5,-3,-0.4
Justin Jackson,10.4,0.516,19.8,-0.1,0.3,0.2,0.018,-2.3,-1.2,-3.5,-0.2
Reggie Jackson,14.2,0.576,19.9,2.3,1.4,3.7,0.115,0.6,-0.2,0.4,0.9
Justin James,11.3,0.548,19.7,0.1,0,0.1,0.02,-2,-2.3,-4.3,-0.2
LeBron James,24.2,0.602,31.9,3,2.6,5.6,0.179,5.9,2.3,8.1,3.8
Mike James,11.9,0.481,22.9,0,0.1,0.1,0.028,-2.1,-2.3,-4.4,-0.1
DaQuan Jeffries,7.9,0.514,11.9,0,0.2,0.3,0.027,-3.6,-1.1,-4.7,-0.3
Ty Jerome,13.4,0.585,18.8,0.9,0.4,1.3,0.079,0.1,-0.8,-0.7,0.3
Isaiah Joe,9.5,0.533,17.4,0.2,0.4,0.6,0.078,-2,-1,-3,-0.1
Alize Johnson,23.5,0.638,19.1,0.6,0.3,0.9,0.227,2.7,0,2.7,0.2
Cameron Johnson,11.8,0.563,17,1.2,1.4,2.6,0.086,0,-0.2,-0.2,0.7
James Johnson,11.4,0.51,17.1,-0.1,1.3,1.2,0.055,-2.7,1.5,-1.2,0.2
Keldon Johnson,13.8,0.557,19.2,1.6,1.7,3.3,0.079,-0.9,-0.7,-1.6,0.2
Stanley Johnson,8.8,0.519,13.4,-0.1,1.1,1,0.048,-3.8,1.2,-2.5,-0.1
Tyler Johnson,8.2,0.546,13.3,0.4,0.3,0.7,0.049,-2.4,-1,-3.4,-0.2
Nikola Jokić,31.3,0.647,29.6,12.2,3.4,15.6,0.301,9.1,3,12.1,8.8
Damian Jones,14.6,0.712,12.3,1,0.5,1.6,0.138,-2.2,0.8,-1.4,0.1
Derrick Jones Jr.,11.9,0.576,12.3,1.6,0.8,2.4,0.089,-1.4,0,-1.4,0.2
Mason Jones,12.1,0.556,23,0,0.2,0.2,0.028,-1.4,-1.2,-2.7,-0.1
Tre Jones,12.1,0.544,16.1,0.2,0.1,0.4,0.066,-2.2,-1.3,-3.5,-0.1
Tyus Jones,15,0.511,16.6,1.5,1.3,2.8,0.11,-0.1,0.9,0.8,0.9
DeAndre Jordan,17.1,0.736,13.1,2.4,1.5,3.9,0.152,0.1,1,1,0.9
Cory Joseph,12.5,0.556,16.3,1.3,0.8,2.1,0.069,-1.8,0,-1.8,0.1
Mfiondu Kabengele,9.5,0.486,17.7,-0.2,0.3,0.2,0.026,-4.3,0.1,-4.3,-0.2
Frank Kaminsky,15.8,0.547,19,1.1,0.9,2,0.133,0.4,0.8,1.3,0.6
Luke Kennard,12.7,0.608,17.1,1.6,1.1,2.7,0.105,0.3,-0.5,-0.2,0.6
Louis King,21.2,0.6,20.6,0.2,0.1,0.3,0.16,2.3,2.5,4.9,0.1
Maxi Kleber,10.6,0.606,10.6,1.6,1.3,2.9,0.103,-0.5,0.5,0,0.7
Nathan Knight,13.9,0.499,21.7,0.1,0.3,0.4,0.07,-2.6,-1,-3.7,-0.1
Kevin Knox,9.1,0.537,16.2,0,0.6,0.6,0.065,-1.7,0.4,-1.4,0.1
John Konchar,14.8,0.608,12.4,0.9,0.8,1.7,0.145,-0.2,1.4,1.2,0.5
Furkan Korkmaz,12.8,0.544,20.5,0.6,1.5,2,0.092,-0.3,0.2,-0.1,0.5
Luke Kornet,13.3,0.511,13.7,0.2,0.5,0.7,0.095,-0.8,1.6,0.8,0.3
Rodions Kurucs,6.3,0.459,15.9,-0.3,0.2,-0.1,-0.041,-6.4,1.8,-4.6,-0.1
Kyle Kuzma,12.7,0.546,20.3,0.4,2.9,3.3,0.08,-0.4,-0.1,-0.4,0.8
Anthony Lamb,8.7,0.523,15,0.1,0.1,0.2,0.023,-3.4,-2.7,-6.1,-0.4
Jeremy Lamb,15.8,0.587,18.4,1.2,0.9,2.1,0.132,0.7,0.7,1.4,0.7
Romeo Langford,5.1,0.436,11.3,-0.2,0.2,0,0.003,-4.9,0.2,-4.6,-0.2
Zach LaVine,21.5,0.634,31,4,1.8,5.9,0.138,4.9,-0.8,4,3.1
Jake Layman,11.4,0.577,15.1,0.2,0.5,0.7,0.051,-2.2,0.2,-2.1,0
T.J. Leaf,11.2,0.551,15.8,0,0,0,0.022,-3.9,0.9,-3,0
Jalen Lecque,4.7,0.242,36.6,-0.1,0,-0.1,-0.232,-6.6,-6.3,-13,0
Damion Lee,11.8,0.636,12.8,1.4,1.3,2.7,0.119,-0.7,0.9,0.2,0.6
Saben Lee,13.8,0.536,17,0.7,0.8,1.5,0.091,-2.1,0.2,-2,0
Alex Len,16.4,0.643,16.3,1.5,1.3,2.7,0.133,-1.2,1,-0.1,0.5
Kawhi Leonard,26,0.622,28.6,6.4,2.4,8.8,0.238,6,1.3,7.3,4.2
Meyers Leonard,6.6,0.635,15.4,0,0,0,0.038,-3.3,-0.4,-3.7,0
Caris LeVert,17.8,0.531,28.7,0.9,1.5,2.4,0.077,0.9,-0.5,0.4,0.9
Kira Lewis Jr.,10.3,0.477,18.3,0.2,0.6,0.9,0.045,-3.2,-0.2,-3.4,-0.3
Damian Lillard,25.6,0.623,31.4,9.6,0.8,10.4,0.209,7.5,-1.3,6.3,5
Nassir Little,11.6,0.589,13.8,0.9,0.2,1.1,0.082,-1.1,-1.6,-2.7,-0.1
Kevon Looney,11.9,0.575,9.4,2,1.4,3.4,0.139,-1.8,1,-0.9,0.3
Brook Lopez,15.4,0.611,16.9,3.1,2.2,5.3,0.133,0,0,0,0.9
Robin Lopez,16.7,0.661,17.1,2.8,0.9,3.7,0.131,0.2,-1.2,-1,0.4
Didi Louzada,-0.9,0.308,12,-0.1,0,-0.1,-0.099,-7.8,-1.8,-9.6,-0.1
Kevin Love,15.1,0.556,21.9,0.3,0.6,0.9,0.073,0.9,-0.9,-0.1,0.3
Kyle Lowry,16.5,0.593,21.4,2.9,1.3,4.1,0.124,2,-0.4,1.6,1.5
Timothé Luwawu-Cabarrot,7.8,0.493,17.4,-0.3,0.7,0.3,0.015,-3.2,-1.2,-4.4,-0.6
Trey Lyles,11.4,0.574,12.9,0.3,0.3,0.6,0.085,-1.3,-0.5,-1.8,0
Will Magnay,-35.1,0,28,0,0,0,-0.787,-30.7,-8.6,-39.3,0
Thon Maker,18.6,0.657,14.8,0.2,0.1,0.3,0.174,-0.3,1.1,0.7,0.1
Théo Maledon,8.2,0.489,19.4,-1.9,1.1,-0.8,-0.021,-4,-1,-5,-1.3
