Player,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jaylen Nowell,12.3,0.528,21.4,0.3,0.4,0.7,0.044,-1.5,-1.4,-2.8,-0.2
Frank Ntilikina,7.7,0.512,13.6,0,0.5,0.5,0.07,-4.2,2.5,-1.7,0
Kendrick Nunn,14.2,0.596,20.9,1.4,1.5,2.9,0.084,-0.1,-0.4,-0.5,0.6
James Nunnally,8.3,0.54,13.9,0,0,0,0.031,-0.9,-1.8,-2.7,0
Jusuf Nurkić,20.5,0.554,22.3,1.2,1.2,2.4,0.133,0.7,1.8,2.5,1
David Nwaba,14.4,0.557,16.6,0.7,0.6,1.3,0.094,-1.4,0.6,-0.8,0.2
Jordan Nwora,16.1,0.586,26,0,0.4,0.4,0.068,-0.7,-0.4,-1.1,0.1
Royce O'Neale,9.9,0.599,9.6,2.3,3.3,5.6,0.121,-1.2,2.1,1,1.7
Semi Ojeleye,8.3,0.553,11.6,0.7,0.6,1.2,0.063,-1.7,-0.7,-2.4,-0.1
Jahlil Okafor,13.1,0.644,16.8,0.3,0.3,0.6,0.082,-2.5,-0.7,-3.2,-0.1
Chuma Okeke,11.8,0.511,14.5,0.3,1,1.3,0.056,-1.9,0.5,-1.5,0.1
Josh Okogie,9.1,0.524,12.1,0.5,0.8,1.3,0.051,-3.7,0.3,-3.3,-0.4
Onyeka Okongwu,16.8,0.655,14.7,1.1,0.8,1.9,0.155,-2.2,0.8,-1.4,0.1
Isaac Okoro,7.9,0.514,14.3,-0.1,1,0.9,0.02,-4.2,-0.9,-5.1,-1.7
KZ Okpala,5.2,0.448,11.9,-0.3,0.4,0.1,0.015,-6.5,-0.6,-7.1,-0.6
Victor Oladipo,14.3,0.512,28.5,-0.6,1,0.4,0.017,-0.9,-0.8,-1.7,0.1
Cameron Oliver,17.2,0.619,18.5,0.1,0.1,0.2,0.114,-1,-1,-2,0
Kelly Olynyk,16.4,0.61,19.7,2.5,2.6,5.1,0.121,0.3,0.9,1.2,1.6
Miye Oni,6.4,0.517,9.8,0.2,0.7,0.9,0.081,-3,1.3,-1.7,0
Cedi Osman,10.3,0.488,20.4,-0.5,1,0.5,0.014,-2.3,-0.9,-3.2,-0.5
Daniel Oturu,12.5,0.471,18.2,0,0.2,0.3,0.081,-4.1,-1.1,-5.2,-0.1
Kelly Oubre Jr.,13.3,0.529,22.1,0,2.2,2.2,0.062,-1.4,-0.5,-1.9,0
Jabari Parker,14.7,0.593,18.5,0.2,0.1,0.3,0.089,-0.9,0,-0.9,0
Eric Paschall,13.4,0.561,23.5,0.2,0.7,0.9,0.062,-1.8,-0.9,-2.7,-0.1
Anžejs Pasečņiks,-40.6,0,41.4,-0.1,0,-0.1,-1.113,-40.7,-5.9,-46.6,-0.1
Patrick Patterson,10.9,0.571,14,0.7,0.5,1.2,0.101,-0.4,-0.1,-0.6,0.2
Justin Patton,11.6,0.488,13,0.1,0.3,0.4,0.076,-3.6,1.4,-2.2,0
Chris Paul,21.4,0.599,22.6,6.5,2.7,9.2,0.201,3.5,1.1,4.6,3.6
