Team,ORtg,DRtg,NRtg
Milwaukee Bucks,114.23,105.76,8.47
Golden State Warriors,116.63,110.24,6.39
Toronto Raptors,113.99,108,5.99
Utah Jazz,111.35,106.11,5.24
Houston Rockets,116.25,111.43,4.82
Portland Trail Blazers,115.45,111.07,4.38
Denver Nuggets,113.76,109.62,4.14
Boston Celtics,112.78,108.35,4.43
Oklahoma City Thunder,110.85,107.53,3.31
Indiana Pacers,110.62,107.23,3.39
Philadelphia 76ers,113.21,110.58,2.64
San Antonio Spurs,113.3,111.55,1.75
Los Angeles Clippers,113.14,112.33,0.81
Orlando Magic,109.46,108.82,0.65
Miami Heat,108.22,108.35,-0.13
Brooklyn Nets,110.3,110.36,-0.06
Detroit Pistons,109.93,110.13,-0.2
Sacramento Kings,111.17,112.19,-1.02
Dallas Mavericks,110.19,111.41,-1.22
Minnesota Timberwolves,112.04,113.54,-1.51
New Orleans Pelicans,111.85,113.1,-1.25
Los Angeles Lakers,108.52,110.18,-1.66
Charlotte Hornets,112.1,113.16,-1.06
Memphis Grizzlies,106.96,109.66,-2.7
Washington Wizards,111.72,114.56,-2.84
Atlanta Hawks,108.71,114.41,-5.7
Chicago Bulls,105.45,113.94,-8.49
Phoenix Suns,106.29,115.55,-9.26
New York Knicks,105.13,114.39,-9.26
Cleveland Cavaliers,108.5,118.54,-10.04
