# Tm,Pos,Player,Tm,Pts Won
1st,C,Rudy Gobert,UTA,200
1st,G,Ben Simmons,PHI,200
1st,F,Draymond Green,GSW,176
1st,G,Jrue Holiday,MIL,157
1st,F,Giannis Antetokounmpo,MIL,135
2nd,F,Bam Adebayo,MIA,111
2nd,G,Jimmy Butler,MIA,111
2nd,C,Joel Embiid,PHI,87
2nd,G,Matisse Thybulle,PHI,63
2nd,F,Kawhi Leonard,LAC,43
