Team,ORtg,DRtg,NRtg
Boston Celtics,115.37,107.71,7.66
Phoenix Suns,115.65,108.17,7.48
Utah Jazz,117.68,111.52,6.16
Golden State Warriors,113.33,107.68,5.65
Memphis Grizzlies,115.5,109.94,5.56
Miami Heat,114.83,110.21,4.62
Dallas Mavericks,113.82,110.27,3.55
Milwaukee Bucks,115.86,112.56,3.31
Philadelphia 76ers,114.39,111.8,2.59
Toronto Raptors,113.93,111.55,2.38
Minnesota Timberwolves,115.15,112.6,2.54
Denver Nuggets,115.21,112.88,2.33
Cleveland Cavaliers,112.92,110.79,2.13
Atlanta Hawks,117.29,115.71,1.58
Brooklyn Nets,114.69,113.93,0.76
Charlotte Hornets,114.94,114.44,0.5
New York Knicks,111.47,111.55,-0.08
Los Angeles Clippers,110.86,110.92,-0.06
San Antonio Spurs,113.04,113,0.03
Chicago Bulls,114.07,114.55,-0.48
New Orleans Pelicans,112.84,113.82,-0.98
Los Angeles Lakers,111.15,114.17,-3.02
Indiana Pacers,113.6,117.11,-3.51
Washington Wizards,111.72,115.33,-3.61
Sacramento Kings,110.69,116.28,-5.59
Detroit Pistons,106.96,114.67,-7.71
Orlando Magic,105.25,113.25,-8
Oklahoma City Thunder,105.25,113.42,-8.18
Houston Rockets,109.28,117.77,-8.49
Portland Trail Blazers,108.8,117.93,-9.13
